node_id,workspace,layer,node_kind,label,source_file,source_id,evidence_status,semantics_status,notes
DOCK-INSPECTOR-WS-INPUTS,WS-INPUTS,optimized,dock,Правый inspector и help,v13-v21/v16/v19+v18,DOCK-INSPECTOR-WS-INPUTS,designed_target,pending,Canonical target-layer.
DOCK-STATUS-WS-INPUTS,WS-INPUTS,optimized,dock,Нижний статус и прогресс,v13-v21/v16/v19+v18,DOCK-STATUS-WS-INPUTS,designed_target,pending,Canonical target-layer.
PROJECT-SCR-01,WS-INPUTS,optimized,screen,Панель проекта — обзор,project_inputs_screen_blueprints_v21.csv,PROJECT-SCR-01,designed_target,pending,Screen blueprint canonical source.
PROJECT-SCR-02,WS-INPUTS,optimized,screen,Панель проекта — recent и открытие,project_inputs_screen_blueprints_v21.csv,PROJECT-SCR-02,designed_target,pending,Screen blueprint canonical source.
PROJECT-SCR-03,WS-INPUTS,optimized,screen,Панель проекта — блокеры и next action,project_inputs_screen_blueprints_v21.csv,PROJECT-SCR-03,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-01,WS-INPUTS,optimized,screen,Исходные данные — обзор групп,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-01,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-02,WS-INPUTS,optimized,screen,Исходные данные — геометрия и рама,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-02,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-03,WS-INPUTS,optimized,screen,Исходные данные — массы и пружины,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-03,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-04,WS-INPUTS,optimized,screen,Исходные данные — цилиндры и пневматика,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-04,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-05,WS-INPUTS,optimized,screen,Исходные данные — численные параметры и режимы,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-05,designed_target,pending,Screen blueprint canonical source.
INPUTS-SCR-06,WS-INPUTS,optimized,screen,Исходные данные — validation и handoff,project_inputs_screen_blueprints_v21.csv,INPUTS-SCR-06,designed_target,pending,Screen blueprint canonical source.
IN-ACTIONS,WS-INPUTS,optimized,region,IN-ACTIONS,project_inputs_screen_blueprints_v21.csv,IN-ACTIONS,designed_target,pending,Region/container from screen blueprint or element catalog.
IN-FORM,WS-INPUTS,optimized,region,IN-FORM,project_inputs_screen_blueprints_v21.csv,IN-FORM,designed_target,pending,Region/container from screen blueprint or element catalog.
IN-GROUPS,WS-INPUTS,optimized,region,IN-GROUPS,project_inputs_screen_blueprints_v21.csv,IN-GROUPS,designed_target,pending,Region/container from screen blueprint or element catalog.
IN-HEADER,WS-INPUTS,optimized,region,IN-HEADER,project_inputs_screen_blueprints_v21.csv,IN-HEADER,designed_target,pending,Region/container from screen blueprint or element catalog.
IN-TWIN,WS-INPUTS,optimized,region,IN-TWIN,project_inputs_screen_blueprints_v21.csv,IN-TWIN,designed_target,pending,Region/container from screen blueprint or element catalog.
IN-VALID,WS-INPUTS,optimized,region,IN-VALID,project_inputs_screen_blueprints_v21.csv,IN-VALID,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-ACTION,WS-INPUTS,optimized,region,PR-ACTION,project_inputs_screen_blueprints_v21.csv,PR-ACTION,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-FOOTER,WS-INPUTS,optimized,region,PR-FOOTER,project_inputs_screen_blueprints_v21.csv,PR-FOOTER,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-HEADER,WS-INPUTS,optimized,region,PR-HEADER,project_inputs_screen_blueprints_v21.csv,PR-HEADER,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-RECENT,WS-INPUTS,optimized,region,PR-RECENT,project_inputs_screen_blueprints_v21.csv,PR-RECENT,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-RUNS,WS-INPUTS,optimized,region,PR-RUNS,project_inputs_screen_blueprints_v21.csv,PR-RUNS,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-STATUS,WS-INPUTS,optimized,region,PR-STATUS,project_inputs_screen_blueprints_v21.csv,PR-STATUS,designed_target,pending,Region/container from screen blueprint or element catalog.
PR-TXT-TITLE,WS-INPUTS,optimized,element,Рабочее пространство «Панель проекта»,project_inputs_element_catalog_v21.csv,PR-TXT-TITLE,designed_target,pending,type=title_text; region=PR-HEADER; binding=project.workspace.title
PR-BADGE-PROJECT-ID,WS-INPUTS,optimized,element,Идентификатор проекта,project_inputs_element_catalog_v21.csv,PR-BADGE-PROJECT-ID,designed_target,pending,type=badge; region=PR-HEADER; binding=project.identity.project_id
PR-BADGE-DIRTY,WS-INPUTS,optimized,element,Индикатор несохранённых изменений,project_inputs_element_catalog_v21.csv,PR-BADGE-DIRTY,designed_target,pending,type=status_badge; region=PR-HEADER; binding=project.identity.dirty_state
PR-BADGE-HEALTH,WS-INPUTS,optimized,element,Сводный статус проекта,project_inputs_element_catalog_v21.csv,PR-BADGE-HEALTH,designed_target,pending,type=status_badge; region=PR-HEADER; binding=project.health.overall_status
PR-TXT-LAST-SAVE,WS-INPUTS,optimized,element,Последнее сохранение,project_inputs_element_catalog_v21.csv,PR-TXT-LAST-SAVE,designed_target,pending,type=caption; region=PR-HEADER; binding=project.identity.last_saved_at
PR-CARD-NEXT-ACTION,WS-INPUTS,optimized,element,Карточка следующего действия,project_inputs_element_catalog_v21.csv,PR-CARD-NEXT-ACTION,designed_target,pending,type=action_card; region=PR-ACTION; binding=project.next_action
PR-BTN-NEXT-ACTION,WS-INPUTS,optimized,element,Выполнить следующее действие,project_inputs_element_catalog_v21.csv,PR-BTN-NEXT-ACTION,designed_target,pending,type=primary_button; region=PR-ACTION; binding=project.next_action.primary_button
PR-BTN-GO-INPUTS,WS-INPUTS,optimized,element,Перейти к исходным данным,project_inputs_element_catalog_v21.csv,PR-BTN-GO-INPUTS,designed_target,pending,type=secondary_button; region=PR-ACTION; binding=project.quick_links.inputs
PR-CARD-PIPELINE,WS-INPUTS,optimized,element,Карта pipeline,project_inputs_element_catalog_v21.csv,PR-CARD-PIPELINE,designed_target,pending,type=diagram_card; region=PR-ACTION; binding=project.pipeline.summary
PR-BTN-GO-RING,WS-INPUTS,optimized,element,Открыть редактор кольца,project_inputs_element_catalog_v21.csv,PR-BTN-GO-RING,designed_target,pending,type=ghost_button; region=PR-ACTION; binding=project.quick_links.ring
PR-BTN-GO-SUITE,WS-INPUTS,optimized,element,Открыть матрицу испытаний,project_inputs_element_catalog_v21.csv,PR-BTN-GO-SUITE,designed_target,pending,type=ghost_button; region=PR-ACTION; binding=project.quick_links.suite
PR-BTN-GO-BASELINE,WS-INPUTS,optimized,element,Открыть базовый прогон,project_inputs_element_catalog_v21.csv,PR-BTN-GO-BASELINE,designed_target,pending,type=ghost_button; region=PR-ACTION; binding=project.quick_links.baseline
PR-BTN-GO-OPT,WS-INPUTS,optimized,element,Открыть оптимизацию,project_inputs_element_catalog_v21.csv,PR-BTN-GO-OPT,designed_target,pending,type=ghost_button; region=PR-ACTION; binding=project.quick_links.optimization
PR-BTN-GO-DIAG,WS-INPUTS,optimized,element,Открыть диагностику,project_inputs_element_catalog_v21.csv,PR-BTN-GO-DIAG,designed_target,pending,type=ghost_button; region=PR-ACTION; binding=project.quick_links.diagnostics
PR-TABLE-BLOCKERS,WS-INPUTS,optimized,element,Таблица блокеров,project_inputs_element_catalog_v21.csv,PR-TABLE-BLOCKERS,designed_target,pending,type=data_table; region=PR-STATUS; binding=project.health.blockers
PR-TABLE-WARNINGS,WS-INPUTS,optimized,element,Таблица предупреждений,project_inputs_element_catalog_v21.csv,PR-TABLE-WARNINGS,designed_target,pending,type=data_table; region=PR-STATUS; binding=project.health.warnings
PR-CARD-RING-STATUS,WS-INPUTS,optimized,element,Карточка статуса кольца,project_inputs_element_catalog_v21.csv,PR-CARD-RING-STATUS,designed_target,pending,type=status_card; region=PR-STATUS; binding=project.health.ring_status
PR-CARD-SUITE-STATUS,WS-INPUTS,optimized,element,Карточка статуса набора испытаний,project_inputs_element_catalog_v21.csv,PR-CARD-SUITE-STATUS,designed_target,pending,type=status_card; region=PR-STATUS; binding=project.health.suite_status
PR-CARD-BASELINE-STATUS,WS-INPUTS,optimized,element,Карточка статуса baseline,project_inputs_element_catalog_v21.csv,PR-CARD-BASELINE-STATUS,designed_target,pending,type=status_card; region=PR-STATUS; binding=project.health.baseline_status
PR-CARD-DIAG-STATUS,WS-INPUTS,optimized,element,Карточка статуса диагностики,project_inputs_element_catalog_v21.csv,PR-CARD-DIAG-STATUS,designed_target,pending,type=status_card; region=PR-STATUS; binding=project.health.diagnostics_status
PR-TABLE-RECENT-PROJECTS,WS-INPUTS,optimized,element,Таблица недавних проектов,project_inputs_element_catalog_v21.csv,PR-TABLE-RECENT-PROJECTS,designed_target,pending,type=data_table; region=PR-RECENT; binding=project.recent.projects
PR-BTN-OPEN-PROJECT,WS-INPUTS,optimized,element,Открыть выбранный проект,project_inputs_element_catalog_v21.csv,PR-BTN-OPEN-PROJECT,designed_target,pending,type=secondary_button; region=PR-RECENT; binding=project.recent.open_selected
PR-BTN-CREATE-PROJECT,WS-INPUTS,optimized,element,Создать новый проект,project_inputs_element_catalog_v21.csv,PR-BTN-CREATE-PROJECT,designed_target,pending,type=secondary_button; region=PR-RECENT; binding=project.recent.create_new
PR-BTN-IMPORT-PROJECT,WS-INPUTS,optimized,element,Импортировать проект,project_inputs_element_catalog_v21.csv,PR-BTN-IMPORT-PROJECT,designed_target,pending,type=secondary_button; region=PR-RECENT; binding=project.recent.import
PR-TABLE-RECENT-RUNS,WS-INPUTS,optimized,element,Таблица недавних прогонов,project_inputs_element_catalog_v21.csv,PR-TABLE-RECENT-RUNS,designed_target,pending,type=data_table; region=PR-RUNS; binding=project.recent.runs
PR-TABLE-RECENT-BUNDLES,WS-INPUTS,optimized,element,Таблица последних архивов диагностики,project_inputs_element_catalog_v21.csv,PR-TABLE-RECENT-BUNDLES,designed_target,pending,type=data_table; region=PR-RUNS; binding=project.recent.bundles
PR-BTN-OPEN-BUNDLE,WS-INPUTS,optimized,element,Открыть выбранный архив диагностики,project_inputs_element_catalog_v21.csv,PR-BTN-OPEN-BUNDLE,designed_target,pending,type=secondary_button; region=PR-RUNS; binding=project.recent.open_bundle
PR-HELP-ANCHOR,WS-INPUTS,optimized,element,Контекстная справка панели проекта,project_inputs_element_catalog_v21.csv,PR-HELP-ANCHOR,designed_target,pending,type=help_anchor; region=PR-FOOTER; binding=project.help.anchor
IN-TXT-TITLE,WS-INPUTS,optimized,element,Рабочее пространство «Исходные данные»,project_inputs_element_catalog_v21.csv,IN-TXT-TITLE,designed_target,pending,type=title_text; region=IN-HEADER; binding=inputs.workspace.title
IN-BADGE-DIRTY,WS-INPUTS,optimized,element,Несохранённые изменения,project_inputs_element_catalog_v21.csv,IN-BADGE-DIRTY,designed_target,pending,type=status_badge; region=IN-HEADER; binding=inputs.dirty_state
IN-BADGE-UNIT-PROFILE,WS-INPUTS,optimized,element,Профиль единиц,project_inputs_element_catalog_v21.csv,IN-BADGE-UNIT-PROFILE,designed_target,pending,type=badge; region=IN-HEADER; binding=inputs.unit_profile
IN-BADGE-MIRROR-MODE,WS-INPUTS,optimized,element,Режим зеркальности,project_inputs_element_catalog_v21.csv,IN-BADGE-MIRROR-MODE,designed_target,pending,type=badge; region=IN-HEADER; binding=inputs.mirror_mode
IN-STATUS-HANDOFF-READINESS,WS-INPUTS,optimized,element,Индикатор готовности handoff,project_inputs_element_catalog_v21.csv,IN-STATUS-HANDOFF-READINESS,designed_target,pending,type=status_badge; region=IN-HEADER; binding=inputs.handoff_readiness
IN-TXT-UNSAVED-COUNT,WS-INPUTS,optimized,element,Количество несохранённых полей,project_inputs_element_catalog_v21.csv,IN-TXT-UNSAVED-COUNT,designed_target,pending,type=caption; region=IN-HEADER; binding=inputs.dirty_count
IN-TABS-GROUPS,WS-INPUTS,optimized,element,Вкладки групп исходных данных,project_inputs_element_catalog_v21.csv,IN-TABS-GROUPS,designed_target,pending,type=tab_strip; region=IN-GROUPS; binding=inputs.active_group
IN-TREE-GROUPS,WS-INPUTS,optimized,element,Дерево групп исходных данных,project_inputs_element_catalog_v21.csv,IN-TREE-GROUPS,designed_target,pending,type=tree; region=IN-GROUPS; binding=inputs.group_registry
IN-BTN-EXPAND-ALL,WS-INPUTS,optimized,element,Развернуть все группы,project_inputs_element_catalog_v21.csv,IN-BTN-EXPAND-ALL,designed_target,pending,type=ghost_button; region=IN-GROUPS; binding=inputs.groups.expand_all
IN-BTN-COLLAPSE-ALL,WS-INPUTS,optimized,element,Свернуть все группы,project_inputs_element_catalog_v21.csv,IN-BTN-COLLAPSE-ALL,designed_target,pending,type=ghost_button; region=IN-GROUPS; binding=inputs.groups.collapse_all
IN-LIST-GROUP-FIELDS,WS-INPUTS,optimized,element,Список полей активной группы,project_inputs_element_catalog_v21.csv,IN-LIST-GROUP-FIELDS,designed_target,pending,type=field_list; region=IN-FORM; binding=inputs.active_group.fields
IN-CARD-GROUP-SUMMARY,WS-INPUTS,optimized,element,Карточка сводки активной группы,project_inputs_element_catalog_v21.csv,IN-CARD-GROUP-SUMMARY,designed_target,pending,type=summary_card; region=IN-FORM; binding=inputs.active_group.summary
IN-BTN-FILTER-REQUIRED,WS-INPUTS,optimized,element,Показать только обязательные,project_inputs_element_catalog_v21.csv,IN-BTN-FILTER-REQUIRED,designed_target,pending,type=ghost_button; region=IN-FORM; binding=inputs.filter.required
IN-BTN-SHOW-ONLY-INVALID,WS-INPUTS,optimized,element,Показать только проблемные,project_inputs_element_catalog_v21.csv,IN-BTN-SHOW-ONLY-INVALID,designed_target,pending,type=ghost_button; region=IN-FORM; binding=inputs.filter.invalid
IN-FORM-FIELD-HOST,WS-INPUTS,optimized,element,Область полей активной группы,project_inputs_element_catalog_v21.csv,IN-FORM-FIELD-HOST,designed_target,pending,type=form_host; region=IN-FORM; binding=inputs.active_group.form
IN-BTN-COMPARE-LAST-SAVED,WS-INPUTS,optimized,element,Сравнить с последним сохранением,project_inputs_element_catalog_v21.csv,IN-BTN-COMPARE-LAST-SAVED,designed_target,pending,type=ghost_button; region=IN-FORM; binding=inputs.compare.last_saved
IN-CANVAS-FRAME-TOP,WS-INPUTS,optimized,element,Эскиз рамы сверху,project_inputs_element_catalog_v21.csv,IN-CANVAS-FRAME-TOP,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.frame_top
IN-CANVAS-SUSP-FRONT,WS-INPUTS,optimized,element,Эскиз подвески спереди,project_inputs_element_catalog_v21.csv,IN-CANVAS-SUSP-FRONT,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.susp_front
IN-CANVAS-SUSP-SIDE,WS-INPUTS,optimized,element,Эскиз подвески сбоку,project_inputs_element_catalog_v21.csv,IN-CANVAS-SUSP-SIDE,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.susp_side
IN-CANVAS-PNEUMO-SCHEME,WS-INPUTS,optimized,element,Схема пневматической сети,project_inputs_element_catalog_v21.csv,IN-CANVAS-PNEUMO-SCHEME,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.pneumo
IN-CANVAS-CYLINDER-RANGE,WS-INPUTS,optimized,element,Диапазоны хода цилиндров,project_inputs_element_catalog_v21.csv,IN-CANVAS-CYLINDER-RANGE,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.cylinder_range
IN-CANVAS-MASS-MAP,WS-INPUTS,optimized,element,Карта масс и центра тяжести,project_inputs_element_catalog_v21.csv,IN-CANVAS-MASS-MAP,designed_target,pending,type=canvas; region=IN-TWIN; binding=inputs.twin.mass_map
IN-LEGEND-TWIN-MODE,WS-INPUTS,optimized,element,Легенда режима visual twin,project_inputs_element_catalog_v21.csv,IN-LEGEND-TWIN-MODE,designed_target,pending,type=legend; region=IN-TWIN; binding=inputs.twin.legend
IN-TXT-TWIN-SOURCE,WS-INPUTS,optimized,element,Подпись источника visual twin,project_inputs_element_catalog_v21.csv,IN-TXT-TWIN-SOURCE,designed_target,pending,type=caption; region=IN-TWIN; binding=inputs.twin.source_text
IN-TXT-TWIN-WARNING,WS-INPUTS,optimized,element,Предупреждение visual twin,project_inputs_element_catalog_v21.csv,IN-TXT-TWIN-WARNING,designed_target,pending,type=warning_text; region=IN-TWIN; binding=inputs.twin.warning_text
IN-BANNER-VALIDATION,WS-INPUTS,optimized,element,Баннер проверки исходных данных,project_inputs_element_catalog_v21.csv,IN-BANNER-VALIDATION,designed_target,pending,type=message_bar; region=IN-VALID; binding=inputs.validation.summary_banner
IN-TABLE-VALIDATION-ISSUES,WS-INPUTS,optimized,element,Таблица validation issues,project_inputs_element_catalog_v21.csv,IN-TABLE-VALIDATION-ISSUES,designed_target,pending,type=data_table; region=IN-VALID; binding=inputs.validation.issues
IN-TABLE-DIRTY-DIFF,WS-INPUTS,optimized,element,Таблица отличий от last saved,project_inputs_element_catalog_v21.csv,IN-TABLE-DIRTY-DIFF,designed_target,pending,type=data_table; region=IN-VALID; binding=inputs.validation.dirty_diff
IN-BTN-VALIDATE,WS-INPUTS,optimized,element,Проверить исходные данные,project_inputs_element_catalog_v21.csv,IN-BTN-VALIDATE,designed_target,pending,type=primary_button; region=IN-ACTIONS; binding=inputs.actions.validate
IN-BTN-SAVE,WS-INPUTS,optimized,element,Сохранить исходные данные,project_inputs_element_catalog_v21.csv,IN-BTN-SAVE,designed_target,pending,type=primary_button; region=IN-ACTIONS; binding=inputs.actions.save
IN-BTN-APPLY,WS-INPUTS,optimized,element,Применить и обновить эскизы,project_inputs_element_catalog_v21.csv,IN-BTN-APPLY,designed_target,pending,type=secondary_button; region=IN-ACTIONS; binding=inputs.actions.apply
IN-BTN-REVERT-GROUP,WS-INPUTS,optimized,element,Откатить активную группу,project_inputs_element_catalog_v21.csv,IN-BTN-REVERT-GROUP,designed_target,pending,type=secondary_button; region=IN-ACTIONS; binding=inputs.actions.revert_group
IN-BTN-RESET-DEFAULTS,WS-INPUTS,optimized,element,Сбросить к каноническим defaults,project_inputs_element_catalog_v21.csv,IN-BTN-RESET-DEFAULTS,designed_target,pending,type=secondary_button; region=IN-ACTIONS; binding=inputs.actions.reset_defaults
IN-BTN-BACK-PROJECT,WS-INPUTS,optimized,element,Вернуться к панели проекта,project_inputs_element_catalog_v21.csv,IN-BTN-BACK-PROJECT,designed_target,pending,type=ghost_button; region=IN-ACTIONS; binding=inputs.actions.back_project
IN-BTN-TO-RING,WS-INPUTS,optimized,element,Перейти в редактор кольца,project_inputs_element_catalog_v21.csv,IN-BTN-TO-RING,designed_target,pending,type=primary_button; region=IN-ACTIONS; binding=inputs.actions.to_ring
IN-BTN-TO-SUITE,WS-INPUTS,optimized,element,Перейти в матрицу испытаний,project_inputs_element_catalog_v21.csv,IN-BTN-TO-SUITE,designed_target,pending,type=secondary_button; region=IN-ACTIONS; binding=inputs.actions.to_suite
IN-BTN-OPEN-DIAG,WS-INPUTS,optimized,element,Открыть диагностику,project_inputs_element_catalog_v21.csv,IN-BTN-OPEN-DIAG,designed_target,pending,type=ghost_button; region=IN-ACTIONS; binding=inputs.actions.open_diagnostics
IN-HELP-ANCHOR,WS-INPUTS,optimized,element,Контекстная справка исходных данных,project_inputs_element_catalog_v21.csv,IN-HELP-ANCHOR,designed_target,pending,type=help_anchor; region=IN-ACTIONS; binding=inputs.help.anchor
FIELDGROUP-WS-INPUTS-group_project_meta,WS-INPUTS,optimized,field_group,group_project_meta,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_project_meta,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_frame_geometry,WS-INPUTS,optimized,field_group,group_frame_geometry,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_frame_geometry,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_masses_inertia,WS-INPUTS,optimized,field_group,group_masses_inertia,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_masses_inertia,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_springs,WS-INPUTS,optimized,field_group,group_springs,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_springs,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_cylinders,WS-INPUTS,optimized,field_group,group_cylinders,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_cylinders,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_pneumatics,WS-INPUTS,optimized,field_group,group_pneumatics,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_pneumatics,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_numerics,WS-INPUTS,optimized,field_group,group_numerics,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_numerics,designed_target,pending,Field grouping by group_id.
FIELDGROUP-WS-INPUTS-group_flags_modes,WS-INPUTS,optimized,field_group,group_flags_modes,project_inputs_field_catalog_v21.csv,FIELDGROUP-WS-INPUTS-group_flags_modes,designed_target,pending,Field grouping by group_id.
PI-FLD-PROJECT-NAME,WS-INPUTS,optimized,field,Название проекта,project_inputs_field_catalog_v21.csv,PI-FLD-PROJECT-NAME,designed_target,pending,data_type=text; scope=project; group_id=group_project_meta; storage_binding=project_manifest.project_name; required_before_handoff=Да
PI-FLD-PROJECT-CODE,WS-INPUTS,optimized,field,Код проекта,project_inputs_field_catalog_v21.csv,PI-FLD-PROJECT-CODE,designed_target,pending,data_type=text; scope=project; group_id=group_project_meta; storage_binding=project_manifest.project_code; required_before_handoff=Нет
PI-FLD-WORKSPACE-ROOT,WS-INPUTS,optimized,field,Рабочий каталог проекта,project_inputs_field_catalog_v21.csv,PI-FLD-WORKSPACE-ROOT,designed_target,pending,data_type=path; scope=project; group_id=group_project_meta; storage_binding=project_manifest.workspace_root_path; required_before_handoff=Да
PI-FLD-VEHICLE-VARIANT,WS-INPUTS,optimized,field,Вариант машины,project_inputs_field_catalog_v21.csv,PI-FLD-VEHICLE-VARIANT,designed_target,pending,data_type=text; scope=project; group_id=group_project_meta; storage_binding=project_manifest.vehicle_variant_name; required_before_handoff=Да
PI-FLD-UNIT-PROFILE,WS-INPUTS,optimized,field,Профиль единиц,project_inputs_field_catalog_v21.csv,PI-FLD-UNIT-PROFILE,designed_target,pending,data_type=enum; scope=project; group_id=group_project_meta; storage_binding=project_manifest.unit_profile; required_before_handoff=Да
PI-FLD-MIRROR-MODE,WS-INPUTS,optimized,field,Режим зеркальности левого и правого борта,project_inputs_field_catalog_v21.csv,PI-FLD-MIRROR-MODE,designed_target,pending,data_type=enum; scope=project; group_id=group_project_meta; storage_binding=project_manifest.mirror_mode; required_before_handoff=Да
PI-FLD-WHEELBASE,WS-INPUTS,optimized,field,База машины,project_inputs_field_catalog_v21.csv,PI-FLD-WHEELBASE,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.wheelbase_m; required_before_handoff=Да
PI-FLD-FRONT-TRACK,WS-INPUTS,optimized,field,Передняя колея,project_inputs_field_catalog_v21.csv,PI-FLD-FRONT-TRACK,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.front_track_m; required_before_handoff=Да
PI-FLD-REAR-TRACK,WS-INPUTS,optimized,field,Задняя колея,project_inputs_field_catalog_v21.csv,PI-FLD-REAR-TRACK,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.rear_track_m; required_before_handoff=Да
PI-FLD-FRAME-LENGTH,WS-INPUTS,optimized,field,Длина рамы,project_inputs_field_catalog_v21.csv,PI-FLD-FRAME-LENGTH,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.frame_length_m; required_before_handoff=Да
PI-FLD-FRAME-WIDTH,WS-INPUTS,optimized,field,Ширина рамы,project_inputs_field_catalog_v21.csv,PI-FLD-FRAME-WIDTH,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.frame_width_m; required_before_handoff=Да
PI-FLD-FRAME-HEIGHT,WS-INPUTS,optimized,field,Высота рамы,project_inputs_field_catalog_v21.csv,PI-FLD-FRAME-HEIGHT,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.frame_height_m; required_before_handoff=Да
PI-FLD-GROUND-CLEARANCE,WS-INPUTS,optimized,field,Статический дорожный просвет,project_inputs_field_catalog_v21.csv,PI-FLD-GROUND-CLEARANCE,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.ground_clearance_static_m; required_before_handoff=Нет
PI-FLD-CG-X,WS-INPUTS,optimized,field,Продольная координата центра тяжести,project_inputs_field_catalog_v21.csv,PI-FLD-CG-X,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.cg_x_m; required_before_handoff=Да
PI-FLD-CG-Y,WS-INPUTS,optimized,field,Поперечная координата центра тяжести,project_inputs_field_catalog_v21.csv,PI-FLD-CG-Y,designed_target,pending,data_type=number; scope=inputs; unit=мм; group_id=group_frame_geometry; storage_binding=base.cg_y_m; required_before_handoff=Нет
