node_id,scope,surface,kind,label_current,label_recommended,semantic_issue,severity,why_it_hurts,status,semantic_quality_score_1_5,cost_impact_launch_shell,cost_impact_diagnostics,cost_impact_compare,route_priority
HZ_SUITE,current,home,screen_zone,Набор испытаний / suite editor,Набор испытаний,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
HZ_WIN,current,home,screen_zone,Сетка отдельных окон,Сетка отдельных окон,none,low,Семантика понятна и соответствует роли.,keep,5,0.4,0.0,0.0,medium
FB_OPT_GATE_REASON,current,optimization_page,feedback,Gate reason preview,Причины gate-отбора,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
FB_OPT_HISTORY_MISMATCH,current,optimization_page,feedback,history contract mismatch,Контракт запуска отличается от текущего,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
FB_OPT_POLICY,current,optimization_page,feedback,Seed/promotion policy (текущая стадия),Политика текущей стадии,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
FB_OPT_STAGE_NAME,current,optimization_page,feedback,Текущая стадия,Текущая стадия,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_OPT_STAGE_ROWS,current,optimization_page,feedback,Rows текущей стадии,Строки текущей стадии,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OC_START_COORD,current,optimization_page,button,Запустить distributed coordinator,Запустить распределённую оптимизацию,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OF_MINUTES,current,optimization_page,field,Лимит времени,"Лимит времени, минуты",none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OF_SEED_CAND,current,optimization_page,field,Seed кандидатов,Число seed-кандидатов,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OF_SEED_COND,current,optimization_page,field,Seed условий,Число seed-условий,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OF_STOP1,current,optimization_page,field,Early-stop штраф stage1,Порог досрочного останова для stage 1,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OF_STOP2,current,optimization_page,field,Early-stop штраф stage2,Порог досрочного останова для stage 2,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OZ_COORD,current,optimization_page,screen_zone,Настройки distributed coordinator,Настройки распределённой оптимизации,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OZ_HISTORY,current,optimization_page,screen_zone,История и сравнение запусков,История и сравнение запусков,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
OZ_MODE,current,optimization_page,screen_zone,Активный путь запуска,Активный путь запуска,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
OZ_STAGE,current,optimization_page,screen_zone,Настройки режима по стадиям,Настройки StageRunner,none,low,Надпись требует уточнения роли.,rewrite,3,0.0,0.0,0.0,low
OZ_STAGE_OBS,current,optimization_page,screen_zone,Прогресс стадии,Прогресс стадии,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_ANIM,current,top_level,window,Desktop Animator,Desktop Animator,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_CMPV,current,top_level,window,Compare Viewer,Compare Viewer,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.6,medium
SC_DIAG,current,top_level,window,GUI диагностики,GUI диагностики,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.6,0.0,medium
SC_HOME,current,top_level,screen,Главная heavy home page,Главная heavy home page,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_INPUT,current,top_level,window,Редактор исходных данных,Редактор исходных данных,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_MNEMO,current,top_level,window,Desktop Mnemo,Desktop Mnemo,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_OPT,current,top_level,screen,Страница «Оптимизация»,Страница «Оптимизация»,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_SEND,current,top_level,window,GUI отправки результатов,GUI отправки результатов,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.6,0.0,medium
SC_TEST,current,top_level,window,Центр тестов,Центр тестов,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
SC_TOOLS,current,top_level,window,Центр desktop-инструментов,Центр desktop-инструментов,none,low,Семантика понятна и соответствует роли.,keep,5,0.0,0.0,0.0,low
FB_HOME_ANIM_LATEST_READY,current,home,feedback,anim_latest готов,Артефакты для аниматора готовы,internal_name_leak,high,В пользовательскую надпись протекает внутреннее имя механизма.,rewrite,1,0.0,0.0,0.0,low
HC_LAUNCH_AUTOTEST,current,home,button,Открыть GUI автотестов,Открыть автотесты,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
HC_LAUNCH_DIAG,current,home,button,Открыть GUI диагностики,Собрать диагностику,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,2.4,2.6,0.0,high
HC_LAUNCH_SEND,current,home,button,Открыть GUI отправки результатов,Отправить готовый архив диагностики,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,2.4,2.6,0.0,high
HC_OPT_BG_START,current,home,button,Старт оптимизации,Запустить активный режим оптимизации,ambiguous_route,high,"Надпись не объясняет, какой именно пользовательский маршрут запускается.",rewrite,1,0.0,0.0,0.0,low
HC_SUITE_DT,current,home,field,dt,"Шаг интегрирования, секунды (dt)",abbreviation_or_internal_key,high,Показывается аббревиатура или внутренний ключ вместо пользовательского смысла.,rewrite,1,0.0,0.0,0.0,low
HC_SUITE_TEND,current,home,field,t_end,"Время моделирования, секунды (t_end)",abbreviation_or_internal_key,high,Показывается аббревиатура или внутренний ключ вместо пользовательского смысла.,rewrite,1,0.0,0.0,0.0,low
FB_OPT_CONTRACT,current,optimization_page,feedback,objective_contract.json,Контракт целей текущего запуска,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
FB_OPT_PROMO_BLOCK,current,optimization_page,feedback,promotion blocked reason,Причины блокировки promotion,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
FB_OPT_QNEHVI,current,optimization_page,feedback,qNEHVI status,Состояние qNEHVI,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
FB_OPT_SP,current,optimization_page,feedback,staged_progress.json,Сводка хода выполнения,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
FB_OPT_UNDERFILL,current,optimization_page,feedback,Underfill,Недобор бюджета,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
OC_MODE_COORD,current,optimization_page,radio,Distributed coordinator (Dask / Ray / BoTorch),Распределённая оптимизация (расширенный режим),too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OF_BASE_AUTO,current,optimization_page,field,Авто-обновлять baseline_best.json,Автоматически обновлять baseline,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
OF_EPS,current,optimization_page,field,System Influence eps_rel,Относительный шаг influence,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
OF_FLUSH,current,optimization_page,field,flush_every,Частота записи результатов,implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
OF_PROGRESS_EVERY,current,optimization_page,field,progress_every_sec,"Частота обновления хода выполнения, секунды",implementation_leak,high,В надпись протекает внутренний технический термин.,rewrite,1,0.0,0.0,0.0,low
OG_BACKEND,current,optimization_page,field,Backend,Вычислительный контур,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_CPUS_PER_EVAL,current,optimization_page,field,Ray cpus per evaluator,CPU на evaluator,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_DASH,current,optimization_page,field,Dask dashboard address,Адрес Dask dashboard,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_MEM,current,optimization_page,field,Dask memory limit,Лимит памяти Dask worker,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_MODE,current,optimization_page,field,Dask mode,Режим Dask,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_SCHED,current,optimization_page,field,Dask scheduler,Адрес Dask scheduler,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_THREADS,current,optimization_page,field,Dask threads per worker,Потоков на Dask worker,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DASK_WORKERS,current,optimization_page,field,Dask workers,Число Dask workers,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DB_ENGINE,current,optimization_page,field,DB engine,Тип базы оптимизации,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_DB_PATH,current,optimization_page,field,DB path,Путь к базе оптимизации,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_EVALUATORS,current,optimization_page,field,Ray evaluators,Число evaluators,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_EXPORT_EVERY,current,optimization_page,field,Export every,Частота экспорта,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_GPUS_PER_PROP,current,optimization_page,field,Ray gpus per proposer,GPU на proposer,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_HV_LOG,current,optimization_page,field,Hypervolume log,Журнал hypervolume,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_MAXITER,current,optimization_page,field,maxiter,Максимум итераций,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_MIN_FEAS,current,optimization_page,field,min-feasible,Минимум допустимых точек,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_NORMALIZE,current,optimization_page,field,normalize_objectives,Нормировать целевые функции,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_N_INIT,current,optimization_page,field,n-init,Число стартовых точек,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_OBJECTIVES,current,optimization_page,field,Целевые метрики (objective keys),Целевые метрики,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_PENALTY_KEY,current,optimization_page,field,Ключ штрафа/ограничений (penalty_key),Поле жёсткого ограничения,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_PENALTY_TOL,current,optimization_page,field,Допуск штрафа (penalty_tolerance),Допуск жёсткого ограничения,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_PROBLEM_HASH,current,optimization_page,field,Режим идентификатора задачи (problem_hash),Режим идентификации задачи,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_PROPOSERS,current,optimization_page,field,Ray proposers,Число proposers,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_PROP_BUFFER,current,optimization_page,field,proposer_buffer,Буфер proposer,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAW_SAMPLES,current,optimization_page,field,raw_samples,Число raw samples,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAY_ADDR,current,optimization_page,field,Ray address,Адрес Ray,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAY_CPUS,current,optimization_page,field,Ray local num cpus,Локальных процессоров Ray,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAY_DASH,current,optimization_page,field,Ray local dashboard,Включить локальный dashboard Ray,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAY_MODE,current,optimization_page,field,Ray mode,Режим Ray,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RAY_PORT,current,optimization_page,field,Ray dashboard port,Порт dashboard Ray,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_REF_MARGIN,current,optimization_page,field,ref_margin,Запас reference point,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RESTARTS,current,optimization_page,field,num_restarts,Число restarts,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RESUME,current,optimization_page,field,Resume,Продолжить предыдущий запуск,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RUNTIME_ENV,current,optimization_page,field,Ray runtime env json,Конфигурация runtime environment,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RUNTIME_EXCL,current,optimization_page,field,Ray runtime exclude,Исключения runtime environment,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_RUN_ID,current,optimization_page,field,Run id,Идентификатор запуска,too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
OG_STALE_TTL,current,optimization_page,field,Stale ttl sec,"Возраст устаревания, секунды",too_technical,high,"Надпись ориентирована на разработчика или исследователя, а не на пользователя.",rewrite,1,0.0,0.0,0.0,low
HC_SUITE_AXAY,current,home,file_ref,axay_csv,axay_csv,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
HC_SUITE_ROAD,current,home,file_ref,road_csv,road_csv,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
HC_SUITE_SCEN,current,home,file_ref,scenario_json,scenario_json,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS00,shared,task_state,task_state,Сессия открыта,Сессия открыта,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS01,shared,task_state,task_state,Исходные данные изменены,Исходные данные изменены,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS02,shared,task_state,task_state,Набор испытаний валиден,Набор испытаний валиден,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS03,shared,task_state,task_state,Базовый прогон готов,Базовый прогон готов,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS04,shared,task_state,task_state,Контекст анализа готов,Контекст анализа готов,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
TS05,shared,task_state,task_state,Архив диагностики готов,Архив диагностики готов,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
USR_LAUNCH,shared,external,user_action,Запуск приложения,Запуск приложения,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_MAIN_ROUTE_READ,current,launcher,task,Понять основной маршрут,Понять основной маршрут,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_EDIT_INPUTS,current,home,task,Изменить исходные данные,Изменить исходные данные,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_EDIT_RING,current,home,task,Изменить сценарий кольца,Изменить сценарий кольца,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_EDIT_SUITE,current,home,task,Изменить набор испытаний,Изменить набор испытаний,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_RUN_BASELINE,current,home,task,Сделать базовый прогон,Сделать базовый прогон,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_OPEN_OPT,current,home,task,Открыть оптимизацию,Открыть оптимизацию,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_MONITOR_OPT,current,optimization_page,task,Следить за прогрессом оптимизации,Следить за прогрессом оптимизации,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_COMPARE,current,home,task,Сравнить результаты,Сравнить результаты,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_OPEN_ANIMATOR,current,home,task,Открыть аниматор,Открыть аниматор,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CTASK_COLLECT_DIAG,current,home,task,Собрать диагностику,Собрать диагностику,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_SUITE_VALID,current,home,check,Набор испытаний валиден?,Набор испытаний валиден?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_BASE_READY,current,home,check,Базовый прогон готов?,Базовый прогон готов?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_COMPARE_CONTEXT,current,home,check,Есть что сравнивать?,Есть что сравнивать?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_ANIM_CONTEXT,current,home,check,Готовы артефакты для аниматора?,Готовы артефакты для аниматора?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_STAGE_MODE_SELECTED,current,optimization_page,check,Выбран активный режим оптимизации?,Выбран активный режим оптимизации?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CCHECK_DIAG_BUNDLE_READY,current,top_level,check,Готов diagnostics bundle?,Готов diagnostics bundle?,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CBLOCK_ROUTE_ENTROPY,current,home,block,Слишком много равноправных входов на старте,Слишком много равноправных входов на старте,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CBLOCK_DIAG_ROUTE_SPLIT,current,home,block,Диагностика и отправка архива раздвоены,Диагностика и отправка архива раздвоены,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CBLOCK_COMPARE_ROUTE_SPLIT,current,home,block,Сравнение раздвоено между embedded и viewer,Сравнение раздвоено между embedded и viewer,mixed_language,medium,Viewer оставляет английский implementation-term в пользовательском слое.,rewrite,3,0.0,0.0,0.0,low
CBLOCK_RING_NOT_DOMINANT,current,home,block,Редактор кольца не доминирует в стартовом маршруте,Редактор кольца не доминирует в стартовом маршруте,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
CBLOCK_UNKNOWN_WINDOW_INTERIORS,current,top_level,block,Внутренности ряда окон не подтверждены живо,Внутренности ряда окон не подтверждены живо,none,low,Подпись читается как предметная и не тащит лишнюю техническую семантику.,keep,5,0.0,0.0,0.0,low
