element_id,name,type,region_id,x_local_px,y_local_px,width_px,height_px,source_binding,visible_when,enabled_when,tooltip_required,help_required,scroll_behavior
RG-EXPORT-ARTIFACTS,Сводка экспортированных файлов,summary_card,RG-FOOTER,344,48,260,72,scenario.export.summary,Export ready,Всегда,Да,Да,Нет
RG-VALIDATION-SUMMARY,Сводка проверок,summary_card,RG-FOOTER,616,48,268,72,scenario.validation.summary,Всегда,Всегда,Да,Да,Нет
RG-HELP-ANCHOR,Локальный знак вопроса,help_anchor,RG-FOOTER,896,48,24,24,help.open_context,Всегда,Всегда,Да,Да,Нет
RING-VALIDATION-STRIP,Полоса валидации,validation_strip,RG-FOOTER,932,48,296,24,scenario.validation.strip,Всегда,Всегда,Да,Да,Нет
RING-UNITS-LEGEND,Легенда единиц измерения,units_legend,RG-FOOTER,896,80,332,40,scenario.units.legend,Всегда,Всегда,Да,Да,Нет
RG-INS-SEGMENT-CARD,Карточка выбранного сегмента,inspector_card,GLOBAL-RIGHT-INSPECTOR,0,0,298,840,scenario.segment.selected,Есть выделение,Есть выделение,Да,Да,Вертикальный внутренний скролл
RG-INS-SEAM-CARD,Карточка шва и экспорта,inspector_card,GLOBAL-RIGHT-INSPECTOR,0,0,298,840,scenario.validation.export,Mode seam_export,Всегда,Да,Да,Вертикальный внутренний скролл
RG-INS-HELP-CARD,Контекстная помощь по элементу,inspector_card,GLOBAL-RIGHT-INSPECTOR,0,0,298,840,help.context,Всегда,Всегда,Да,Да,Вертикальный внутренний скролл
UI-RG-FLD-SCENARIO-NAME,Название сценария,field_row,GLOBAL-RIGHT-INSPECTOR,16,16,266,32,RG-FLD-SCENARIO-NAME,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,field_row,GLOBAL-RIGHT-INSPECTOR,16,56,266,32,RG-FLD-CLOSURE-POLICY,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-V0,Начальная скорость прохождения,field_row,GLOBAL-RIGHT-INSPECTOR,16,96,266,32,RG-FLD-V0,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-DX,Шаг дискретизации дороги,field_row,GLOBAL-RIGHT-INSPECTOR,16,136,266,32,RG-FLD-DX,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-LAPS,Количество кругов,field_row,GLOBAL-RIGHT-INSPECTOR,16,176,266,32,RG-FLD-LAPS,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-SEED,Код генератора случайности,field_row,GLOBAL-RIGHT-INSPECTOR,16,216,266,32,RG-FLD-SEED,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-ROAD-WIDTH,Ширина дороги,field_row,GLOBAL-RIGHT-INSPECTOR,16,256,266,32,RG-FLD-ROAD-WIDTH,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-START-HEIGHT,Высота дороги в начале кольца,field_row,GLOBAL-RIGHT-INSPECTOR,16,296,266,32,RG-FLD-START-HEIGHT,Выбран сегмент 0,Всегда,Да,Да,Нет
UI-RG-FLD-SHOV-THRESHOLD,Порог допуска шва кольца,field_row,GLOBAL-RIGHT-INSPECTOR,16,336,266,32,RG-FLD-SHOV-THRESHOLD,Mode segment_detail или seam_export,Всегда,Да,Да,Нет
UI-RG-FLD-SEGMENT-ID,Номер сегмента,field_row,GLOBAL-RIGHT-INSPECTOR,16,376,266,32,RG-FLD-SEGMENT-ID,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SEGMENT-LABEL,Имя сегмента,field_row,GLOBAL-RIGHT-INSPECTOR,16,416,266,32,RG-FLD-SEGMENT-LABEL,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SEGMENT-ENABLED,Сегмент включён,field_row,GLOBAL-RIGHT-INSPECTOR,16,456,266,32,RG-FLD-SEGMENT-ENABLED,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SEGMENT-LENGTH,Длина сегмента,field_row,GLOBAL-RIGHT-INSPECTOR,16,496,266,32,RG-FLD-SEGMENT-LENGTH,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-TURN-DIRECTION,Направление поворота,field_row,GLOBAL-RIGHT-INSPECTOR,16,536,266,32,RG-FLD-TURN-DIRECTION,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-TURN-RADIUS,Радиус поворота,field_row,GLOBAL-RIGHT-INSPECTOR,16,576,266,32,RG-FLD-TURN-RADIUS,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-ARC-ANGLE,Угол дуги,field_row,GLOBAL-RIGHT-INSPECTOR,16,616,266,32,RG-FLD-ARC-ANGLE,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-END-HEIGHT,Высота дороги в конце сегмента,field_row,GLOBAL-RIGHT-INSPECTOR,16,656,266,32,RG-FLD-END-HEIGHT,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-CROSSFALL,Поперечный уклон,field_row,GLOBAL-RIGHT-INSPECTOR,16,696,266,32,RG-FLD-CROSSFALL,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SURFACE-TYPE,Тип покрытия,field_row,GLOBAL-RIGHT-INSPECTOR,16,736,266,32,RG-FLD-SURFACE-TYPE,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SURFACE-CLASS,Класс шероховатости или профиль,field_row,GLOBAL-RIGHT-INSPECTOR,16,776,266,32,RG-FLD-SURFACE-CLASS,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SINE-AMPLITUDE,Амплитуда синусоиды,field_row,GLOBAL-RIGHT-INSPECTOR,16,816,266,32,RG-FLD-SINE-AMPLITUDE,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-SINE-WAVELENGTH,Длина волны синусоиды,field_row,GLOBAL-RIGHT-INSPECTOR,16,856,266,32,RG-FLD-SINE-WAVELENGTH,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-PHASE-RIGHT,Фаза правой колеи,field_row,GLOBAL-RIGHT-INSPECTOR,16,896,266,32,RG-FLD-PHASE-RIGHT,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-RANDOM-PHASES,Случайные фазы,field_row,GLOBAL-RIGHT-INSPECTOR,16,936,266,32,RG-FLD-RANDOM-PHASES,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-TARGET-SPEED,Целевая скорость прохождения,field_row,GLOBAL-RIGHT-INSPECTOR,16,976,266,32,RG-FLD-TARGET-SPEED,Есть выделение,Всегда,Да,Да,Нет
UI-RG-FLD-PASSAGE-MODE,Режим прохождения сегмента,field_row,GLOBAL-RIGHT-INSPECTOR,16,1016,266,32,RG-FLD-PASSAGE-MODE,Есть выделение,Всегда,Да,Да,Нет
