SOURCE_ID,SOURCE_TYPE,PATH_OR_URL,AUTHORITY,FRESHNESS,PRIORITY,CONTAINS,RECONCILED_AS
SRC-017,attached_gui_layer,pneumo_gui_codex_design_v17_analysis_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-ANALYSIS layer.,used_as_ws_analysis_detail
SRC-018,attached_gui_layer,pneumo_gui_codex_design_v18_animator_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-ANIMATOR layer.,used_as_ws_animator_detail
SRC-019,attached_gui_layer,pneumo_gui_codex_design_v19_diagnostics_consumer_contract/*,historical_import,2026-04,medium,Detailed WS-DIAGNOSTICS layer.,used_as_ws_diagnostics_detail
SRC-020,attached_gui_layer,pneumo_gui_codex_design_v20_global_shell_contract/*,historical_import,2026-04,medium,Detailed WS-SHELL layer.,used_as_shell_detail
SRC-021,attached_gui_layer,pneumo_gui_codex_design_v21_project_inputs_consolidation/*,historical_import,2026-04,medium,Detailed WS-PROJECT/WS-INPUTS layer.,used_as_project_inputs_detail
SRC-022,attached_gui_layer,pneumo_gui_codex_design_v22_ring_suite_reconciliation/*,historical_import,2026-04,medium,Ring/Suite lineage and stale-policy reconciliation.,used_as_lineage_reconciliation
SRC-023,attached_gui_layer,pneumo_gui_codex_design_v23_downstream_lineage_propagation/*,historical_import,2026-04,medium,Downstream lineage propagation baseline->optimization->analysis->animator.,used_as_lineage_reconciliation
SRC-024,attached_gui_layer,pneumo_gui_codex_design_v24_compare_diagnostics_convergence/*,historical_import,2026-04,medium,"Compare/diagnostics convergence, banners, provenance manifests.",used_as_compare_diag_reconciliation
SRC-025,attached_gui_layer,pneumo_gui_codex_design_v25_canonical_scenario_source_uplift/*,historical_import,2026-04,medium,Canonical scenario source uplift.,used_as_scenario_canon
SRC-026,attached_gui_layer,pneumo_gui_codex_design_v26_scenario_consumer_enforcement/*,historical_import,2026-04,medium,Scenario consumer enforcement downstream.,used_as_scenario_enforcement
SRC-027,attached_context,SOURCE_CONTEXT/deep-research-report (5).md,attached_context,2026-04,medium,Deep research report and project context summary.,used_as_context_crosscheck
SRC-028,attached_context,SOURCE_CONTEXT/Прогрев контекста проекта.txt,attached_context,2026-04,medium,"Warm context of project status, bugs and design directions.",used_as_context_crosscheck
SRC-029,attached_context,SOURCE_CONTEXT/Проектный релиз.txt,attached_context,2026-04,medium,Recent release and runtime notes.,used_as_context_crosscheck
SRC-030,attached_context,SOURCE_CONTEXT/Разработка софта для подвески.txt,attached_context,2026-04,medium,Development notes and evolution of contracts.,used_as_context_crosscheck
SRC-031,repo_doc,https://raw.githubusercontent.com/barmaleii77-hub/pneumo2/main/pneumo2_R31CN_HF8_repo_root/docs/12_Wishlist.md,normative_backlog,current,high,"Текущий Wishlist-снимок: packaging cylinders, web/browser perf, road/animator/GL, diagnostics acceptance.",reconciled_into_backlog
