id,automation_id,название,тип,регион,прямоугольник_в_базовом_окне,tooltip_id,help_id,назначение,узел_пайплайна,видимость,доступность,клавиша_доступа,tab_index,workspace_owner,горячая_клавиша
SH-STATUS-MODE,SH-STATUS-MODE,Текущий режим,status_chip,нижняя_строка,"{""x"": {""значение"": 12, ""единица"": ""px""}, ""y"": {""значение"": 1052, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 24, ""единица"": ""px""}}",TT-SH-STATUS-MODE,HELP-SH-STATUS-MODE,Активное рабочее пространство и режим запуска.,OPT-16,Всегда видим,Только чтение,,30,общие_регионы.нижняя_строка,
SH-STATUS-STAGE,SH-STATUS-STAGE,Текущая стадия,status_chip,нижняя_строка,"{""x"": {""значение"": 240, ""единица"": ""px""}, ""y"": {""значение"": 1052, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 24, ""единица"": ""px""}}",TT-SH-STATUS-STAGE,HELP-SH-STATUS-STAGE,Текущая стадия базового прогона или оптимизации.,OPT-16,Видима только при расчёте или просмотре результатов,Только чтение,,31,общие_регионы.нижняя_строка,
SH-STATUS-PROGRESS,SH-STATUS-PROGRESS,Нижний индикатор прогресса,progress_bar,нижняя_строка,"{""x"": {""значение"": 468, ""единица"": ""px""}, ""y"": {""значение"": 1052, ""единица"": ""px""}, ""ширина"": {""значение"": 680, ""единица"": ""px""}, ""высота"": {""значение"": 24, ""единица"": ""px""}}",TT-SH-STATUS-PROGRESS,HELP-SH-STATUS-PROGRESS,Сжатый индикатор хода длительной операции; подробности всегда дублируются в центре экрана.,OPT-16,Видим при длительной операции,Только чтение,,32,общие_регионы.нижняя_строка,
SH-STATUS-WARNINGS,SH-STATUS-WARNINGS,Индикатор предупреждений,warning_cluster,нижняя_строка,"{""x"": {""значение"": 1156, ""единица"": ""px""}, ""y"": {""значение"": 1052, ""единица"": ""px""}, ""ширина"": {""значение"": 360, ""единица"": ""px""}, ""высота"": {""значение"": 24, ""единица"": ""px""}}",TT-SH-STATUS-WARNINGS,HELP-SH-STATUS-WARNINGS,Количество предупреждений и быстрый переход к панели проверки.,OPT-16,Всегда видим,Всегда доступен,,33,общие_регионы.нижняя_строка,
SH-STATUS-LOGS,SH-STATUS-LOGS,Журнал и диагностика,link_cluster,нижняя_строка,"{""x"": {""значение"": 1524, ""единица"": ""px""}, ""y"": {""значение"": 1052, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 24, ""единица"": ""px""}}",TT-SH-STATUS-LOGS,HELP-SH-STATUS-LOGS,"Быстрые ссылки на журнал, каталог run и диагностику.",OPT-16,Всегда видим,Всегда доступен,,34,общие_регионы.нижняя_строка,
PJ-STEP-BAR,PJ-STEP-BAR,Линейка шагов pipeline,step_bar,панель_проекта,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 88, ""единица"": ""px""}, ""ширина"": {""значение"": 1204, ""единица"": ""px""}, ""высота"": {""значение"": 56, ""единица"": ""px""}}",TT-PJ-STEP-BAR,HELP-PJ-STEP-BAR,Показывает текущий шаг: исходные данные → сценарии → испытания → базовый прогон → оптимизация → анализ → анимация → диагностика.,OPT-01,,,,,WS-PROJECT,
PJ-CARD-PROJECT-STATE,PJ-CARD-PROJECT-STATE,Карточка состояния проекта,card,панель_проекта,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 168, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-PROJECT-STATE,HELP-PJ-CARD-PROJECT-STATE,"Имя проекта, путь, время последнего сохранения, статус dirty/clean, активный workspace.",OPT-01,,,,,WS-PROJECT,
PJ-CARD-LAST-BASELINE,PJ-CARD-LAST-BASELINE,Карточка последнего baseline,card,панель_проекта,"{""x"": {""значение"": 744, ""единица"": ""px""}, ""y"": {""значение"": 168, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-LAST-BASELINE,HELP-PJ-CARD-LAST-BASELINE,"Последний baseline, время принятия, источник, ключевые KPI.",OPT-01,,,,,WS-PROJECT,
PJ-CARD-LAST-RUN,PJ-CARD-LAST-RUN,Карточка последнего запуска,card,панель_проекта,"{""x"": {""значение"": 1154, ""единица"": ""px""}, ""y"": {""значение"": 168, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-LAST-RUN,HELP-PJ-CARD-LAST-RUN,"Последний run, его режим, objective contract и статус.",OPT-01,,,,,WS-PROJECT,
PJ-CARD-DIAGNOSTICS,PJ-CARD-DIAGNOSTICS,Карточка диагностики,card,панель_проекта,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 368, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-DIAGNOSTICS,HELP-PJ-CARD-DIAGNOSTICS,Свежесть последнего диагностического архива и состояние self-check.,OPT-11,,,,,WS-PROJECT,
PJ-CARD-CONTRACT-WARNINGS,PJ-CARD-CONTRACT-WARNINGS,Карточка предупреждений контракта,card,панель_проекта,"{""x"": {""значение"": 744, ""единица"": ""px""}, ""y"": {""значение"": 368, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-CONTRACT-WARNINGS,HELP-PJ-CARD-CONTRACT-WARNINGS,"Предупреждения по solver_points, hardpoints, packaging, suite или baseline.",OPT-01,,,,,WS-PROJECT,
PJ-CARD-QUICK-METRICS,PJ-CARD-QUICK-METRICS,Карточка быстрых метрик,card,панель_проекта,"{""x"": {""значение"": 1154, ""единица"": ""px""}, ""y"": {""значение"": 368, ""единица"": ""px""}, ""ширина"": {""значение"": 384, ""единица"": ""px""}, ""высота"": {""значение"": 176, ""единица"": ""px""}}",TT-PJ-CARD-QUICK-METRICS,HELP-PJ-CARD-QUICK-METRICS,"Краткий свод по комфорту, крену, энергии и потере контакта.",OPT-08,,,,,WS-PROJECT,
PJ-BTN-CONTINUE,PJ-BTN-CONTINUE,Продолжить работу,primary_button,панель_проекта,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 580, ""единица"": ""px""}, ""ширина"": {""значение"": 280, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-PJ-BTN-CONTINUE,HELP-PJ-BTN-CONTINUE,Открывает следующий рекомендуемый шаг.,OPT-01,,,,,WS-PROJECT,
PJ-BTN-OPEN-INPUTS,PJ-BTN-OPEN-INPUTS,Открыть исходные данные,secondary_button,панель_проекта,"{""x"": {""значение"": 630, ""единица"": ""px""}, ""y"": {""значение"": 580, ""единица"": ""px""}, ""ширина"": {""значение"": 200, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-PJ-BTN-OPEN-INPUTS,HELP-PJ-BTN-OPEN-INPUTS,Переход к входным параметрам.,OPT-02,,,,,WS-PROJECT,
PJ-BTN-OPEN-RING,PJ-BTN-OPEN-RING,Открыть редактор кольца,secondary_button,панель_проекта,"{""x"": {""значение"": 846, ""единица"": ""px""}, ""y"": {""значение"": 580, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-PJ-BTN-OPEN-RING,HELP-PJ-BTN-OPEN-RING,Переход к сценариям и кольцу.,OPT-03,,,,,WS-PROJECT,
PJ-BTN-OPEN-SUITE,PJ-BTN-OPEN-SUITE,Открыть матрицу испытаний,secondary_button,панель_проекта,"{""x"": {""значение"": 1082, ""единица"": ""px""}, ""y"": {""значение"": 580, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-PJ-BTN-OPEN-SUITE,HELP-PJ-BTN-OPEN-SUITE,Переход к набору испытаний.,OPT-04,,,,,WS-PROJECT,
PJ-BTN-OPEN-OPT,PJ-BTN-OPEN-OPT,Открыть центр оптимизации,secondary_button,панель_проекта,"{""x"": {""значение"": 1318, ""единица"": ""px""}, ""y"": {""значение"": 580, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-PJ-BTN-OPEN-OPT,HELP-PJ-BTN-OPEN-OPT,Переход к solve-center.,OPT-06,,,,,WS-PROJECT,
ID-TAB-GEOMETRY,ID-TAB-GEOMETRY,Геометрия,tab_button,исходные_данные,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 136, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-TAB-GEOMETRY,HELP-ID-TAB-GEOMETRY,"Параметры геометрии рамы, рычагов, точек крепления цилиндров.",OPT-02,,,,,WS-INPUTS,
ID-TAB-PNEUMATICS,ID-TAB-PNEUMATICS,Пневматика,tab_button,исходные_данные,"{""x"": {""значение"": 478, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 136, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-TAB-PNEUMATICS,HELP-ID-TAB-PNEUMATICS,"Параметры магистралей, ресиверов, клапанов, давлений и расходов.",OPT-02,,,,,WS-INPUTS,
ID-TAB-MASS,ID-TAB-MASS,Массы и инерции,tab_button,исходные_данные,"{""x"": {""значение"": 622, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 172, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-TAB-MASS,HELP-ID-TAB-MASS,Массы и моменты инерции.,OPT-02,,,,,WS-INPUTS,
ID-TAB-MODES,ID-TAB-MODES,Режимы и флаги,tab_button,исходные_данные,"{""x"": {""значение"": 802, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 160, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-TAB-MODES,HELP-ID-TAB-MODES,Нечисловые режимы и логические флаги.,OPT-02,,,,,WS-INPUTS,
ID-PARAM-FILTER,ID-PARAM-FILTER,Фильтр параметров,search_box,исходные_данные,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 128, ""единица"": ""px""}, ""ширина"": {""значение"": 400, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-PARAM-FILTER,HELP-ID-PARAM-FILTER,"Поиск параметров по имени, обозначению и тегам помощи.",OPT-02,,,,,WS-INPUTS,
ID-SHOW-ONLY-OPT,ID-SHOW-ONLY-OPT,Показывать только оптимизируемые,checkbox,исходные_данные,"{""x"": {""значение"": 750, ""единица"": ""px""}, ""y"": {""значение"": 128, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-SHOW-ONLY-OPT,HELP-ID-SHOW-ONLY-OPT,Фильтр списка параметров.,OPT-02,,,,,WS-INPUTS,
ID-PARAM-TABLE,ID-PARAM-TABLE,Таблица параметров,data_grid,исходные_данные,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 176, ""единица"": ""px""}, ""ширина"": {""значение"": 520, ""единица"": ""px""}, ""высота"": {""значение"": 828, ""единица"": ""px""}}",TT-ID-PARAM-TABLE,HELP-ID-PARAM-TABLE,Главная таблица параметров по реестру.,OPT-02,,,,,WS-INPUTS,
ID-PREVIEW-SWITCH,ID-PREVIEW-SWITCH,Переключатель графического представления,segmented_control,исходные_данные,"{""x"": {""значение"": 880, ""единица"": ""px""}, ""y"": {""значение"": 128, ""единица"": ""px""}, ""ширина"": {""значение"": 658, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-PREVIEW-SWITCH,HELP-ID-PREVIEW-SWITCH,"Переключение между схемой подвески, схемой пневматики, диапазонами хода и массами.",OPT-02,,,,,WS-INPUTS,
ID-PREVIEW-CANVAS,ID-PREVIEW-CANVAS,Графическое представление входных данных,canvas,исходные_данные,"{""x"": {""значение"": 880, ""единица"": ""px""}, ""y"": {""значение"": 176, ""единица"": ""px""}, ""ширина"": {""значение"": 658, ""единица"": ""px""}, ""высота"": {""значение"": 620, ""единица"": ""px""}}",TT-ID-PREVIEW-CANVAS,HELP-ID-PREVIEW-CANVAS,Главная графика для выбранной группы параметров.,OPT-02,,,,,WS-INPUTS,
ID-PREVIEW-LEGEND,ID-PREVIEW-LEGEND,Легенда и источник представления,legend_panel,исходные_данные,"{""x"": {""значение"": 880, ""единица"": ""px""}, ""y"": {""значение"": 808, ""единица"": ""px""}, ""ширина"": {""значение"": 658, ""единица"": ""px""}, ""высота"": {""значение"": 88, ""единица"": ""px""}}",TT-ID-PREVIEW-LEGEND,HELP-ID-PREVIEW-LEGEND,"Объясняет цвета, тип представления и единицы измерения.",OPT-02,,,,,WS-INPUTS,
ID-VALIDATION-BANNER,ID-VALIDATION-BANNER,Баннер локальной валидации,message_bar,исходные_данные,"{""x"": {""значение"": 880, ""единица"": ""px""}, ""y"": {""значение"": 908, ""единица"": ""px""}, ""ширина"": {""значение"": 658, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-ID-VALIDATION-BANNER,HELP-ID-VALIDATION-BANNER,Показывает ошибки и предупреждения по выбранной группе параметров.,OPT-17,,,,,WS-INPUTS,
ID-BTN-AUTO-MIDSTROKE,ID-BTN-AUTO-MIDSTROKE,Автоподбор к середине хода,secondary_button,исходные_данные,"{""x"": {""значение"": 880, ""единица"": ""px""}, ""y"": {""значение"": 960, ""единица"": ""px""}, ""ширина"": {""значение"": 240, ""единица"": ""px""}, ""высота"": {""значение"": 40, ""единица"": ""px""}}",TT-ID-BTN-AUTO-MIDSTROKE,HELP-ID-BTN-AUTO-MIDSTROKE,Автоматически подбирает пружины и исходные положения к статической середине хода.,OPT-02,,,,,WS-INPUTS,
ID-MIRROR-TOGGLE,ID-MIRROR-TOGGLE,Зеркалировать левый и правый борта,checkbox,исходные_данные,"{""x"": {""значение"": 1136, ""единица"": ""px""}, ""y"": {""значение"": 964, ""единица"": ""px""}, ""ширина"": {""значение"": 220, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-MIRROR-TOGGLE,HELP-ID-MIRROR-TOGGLE,По умолчанию левый и правый борт зеркальны.,OPT-02,,,,,WS-INPUTS,
ID-ASYMMETRY-TOGGLE,ID-ASYMMETRY-TOGGLE,Разрешить асимметрию,checkbox,исходные_данные,"{""x"": {""значение"": 1362, ""единица"": ""px""}, ""y"": {""значение"": 964, ""единица"": ""px""}, ""ширина"": {""значение"": 176, ""единица"": ""px""}, ""высота"": {""значение"": 32, ""единица"": ""px""}}",TT-ID-ASYMMETRY-TOGGLE,HELP-ID-ASYMMETRY-TOGGLE,Включает независимое редактирование левого и правого бортов.,OPT-02,,,,,WS-INPUTS,
RG-FLD-SCENARIO-NAME,RG-FLD-SCENARIO-NAME,Название сценария,text_editor,редактор_кольца,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 280, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-SCENARIO-NAME,HELP-RG-SCENARIO-NAME,Имя сценария.,OPT-03,,,,,WS-RING,
RG-FLD-CLOSURE-POLICY,RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,combo_box,редактор_кольца,"{""x"": {""значение"": 630, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 240, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-CLOSURE-POLICY,HELP-RG-CLOSURE-POLICY,Как замыкается кольцо.,OPT-03,,,,,WS-RING,
RG-FLD-V0,RG-FLD-V0,"Начальная скорость, километры в час",numeric_editor,редактор_кольца,"{""x"": {""значение"": 886, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 180, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-V0,HELP-RG-V0,Начальная скорость.,OPT-03,,,,,WS-RING,
RG-FLD-DX,RG-FLD-DX,"Шаг дискретизации дороги, метры",numeric_editor,редактор_кольца,"{""x"": {""значение"": 1082, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 180, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-DX,HELP-RG-DX,Шаг дискретизации.,OPT-03,,,,,WS-RING,
RG-FLD-LAPS,RG-FLD-LAPS,"Количество кругов, штуки",integer_editor,редактор_кольца,"{""x"": {""значение"": 1278, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 132, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-LAPS,HELP-RG-LAPS,Количество кругов.,OPT-03,,,,,WS-RING,
RG-FLD-SEED,RG-FLD-SEED,Код генератора случайности,integer_editor,редактор_кольца,"{""x"": {""значение"": 1426, ""единица"": ""px""}, ""y"": {""значение"": 80, ""единица"": ""px""}, ""ширина"": {""значение"": 112, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-FLD-SEED,HELP-RG-SEED,Код генератора.,OPT-03,,,,,WS-RING,
RG-SEGMENT-LIST,RG-SEGMENT-LIST,Список сегментов,list_view,редактор_кольца,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 136, ""единица"": ""px""}, ""ширина"": {""значение"": 304, ""единица"": ""px""}, ""высота"": {""значение"": 792, ""единица"": ""px""}}",TT-RG-SEGMENT-LIST,HELP-RG-SEGMENT-LIST,Список сегментов кольца.,OPT-03,,,,,WS-RING,
RG-BTN-ADD-SEGMENT,RG-BTN-ADD-SEGMENT,Добавить сегмент,small_button,редактор_кольца,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 940, ""единица"": ""px""}, ""ширина"": {""значение"": 144, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-BTN-ADD-SEGMENT,HELP-RG-BTN-ADD-SEGMENT,Добавляет новый сегмент.,OPT-03,,,,,WS-RING,
RG-BTN-DUP-SEGMENT,RG-BTN-DUP-SEGMENT,Дублировать сегмент,small_button,редактор_кольца,"{""x"": {""значение"": 486, ""единица"": ""px""}, ""y"": {""значение"": 940, ""единица"": ""px""}, ""ширина"": {""значение"": 152, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-BTN-DUP-SEGMENT,HELP-RG-BTN-DUP-SEGMENT,Дублирует сегмент.,OPT-03,,,,,WS-RING,
RG-BTN-MOVE-UP,RG-BTN-MOVE-UP,Поднять сегмент,small_button,редактор_кольца,"{""x"": {""значение"": 334, ""единица"": ""px""}, ""y"": {""значение"": 984, ""единица"": ""px""}, ""ширина"": {""значение"": 144, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-BTN-MOVE-UP,HELP-RG-BTN-MOVE-UP,Перемещает сегмент вверх.,OPT-03,,,,,WS-RING,
RG-BTN-MOVE-DOWN,RG-BTN-MOVE-DOWN,Опустить сегмент,small_button,редактор_кольца,"{""x"": {""значение"": 486, ""единица"": ""px""}, ""y"": {""значение"": 984, ""единица"": ""px""}, ""ширина"": {""значение"": 152, ""единица"": ""px""}, ""высота"": {""значение"": 36, ""единица"": ""px""}}",TT-RG-BTN-MOVE-DOWN,HELP-RG-BTN-MOVE-DOWN,Перемещает сегмент вниз.,OPT-03,,,,,WS-RING,
RG-PLAN-VIEW,RG-PLAN-VIEW,План кольца,canvas,редактор_кольца,"{""x"": {""значение"": 654, ""единица"": ""px""}, ""y"": {""значение"": 136, ""единица"": ""px""}, ""ширина"": {""значение"": 884, ""единица"": ""px""}, ""высота"": {""значение"": 516, ""единица"": ""px""}}",TT-RG-PLAN-VIEW,HELP-RG-PLAN-VIEW,План кольца сверху.,OPT-03,,,,,WS-RING,
