id,текст,правило,связанная_помощь
TT-RG-FLD-DX,"Шаг дискретизации дороги, метры","Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-DX
TT-RG-FLD-LAPS,"Количество кругов, штуки","Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-LAPS
TT-RG-FLD-SEED,Код генератора случайности,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-SEED
TT-RG-SEGMENT-LIST,Список сегментов,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-SEGMENT-LIST
TT-RG-BTN-ADD-SEGMENT,Добавить сегмент,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-ADD-SEGMENT
TT-RG-BTN-DUP-SEGMENT,Дублировать сегмент,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-DUP-SEGMENT
TT-RG-BTN-MOVE-UP,Поднять сегмент,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-MOVE-UP
TT-RG-BTN-MOVE-DOWN,Опустить сегмент,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-MOVE-DOWN
TT-RG-PLAN-VIEW,План кольца,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-PLAN-VIEW
TT-RG-LONG-PROFILE-VIEW,Продольный профиль,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-LONG-PROFILE-VIEW
TT-RG-CROSSFALL-VIEW,Поперечный уклон и шов,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-CROSSFALL-VIEW
TT-RG-SEAM-DIAGNOSTICS,Диагностика замыкания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-SEAM-DIAGNOSTICS
TT-RG-BTN-GENERATE-PREVIEW,Сгенерировать предварительный просмотр,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-GENERATE-PREVIEW
TT-RG-BTN-ADD-TO-SUITE,Добавить в испытания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-BTN-ADD-TO-SUITE
TT-TS-FILTER-TYPE,Фильтр по типу испытания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-FILTER-TYPE
TT-TS-FILTER-STAGE,Фильтр по стадии,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-FILTER-STAGE
TT-TS-FILTER-TEXT,Поиск испытания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-FILTER-TEXT
TT-TS-BTN-ADD-FROM-RING,Добавить из редактора кольца,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-BTN-ADD-FROM-RING
TT-TS-BTN-ADD-TEMPLATE,Добавить шаблон испытания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-BTN-ADD-TEMPLATE
TT-TS-TABLE,Таблица испытаний,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-TABLE
TT-TS-VALIDATION-SUMMARY,Сводка валидации набора,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-VALIDATION-SUMMARY
TT-TS-BTN-VALIDATE,Проверить набор испытаний,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-BTN-VALIDATE
TT-TS-BTN-RUN-BASELINE,Запустить базовый прогон,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-BTN-RUN-BASELINE
TT-TS-EXPORT-IMPORT,Импорт и экспорт набора испытаний,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-TS-EXPORT-IMPORT
TT-BL-CONTRACT-CARD,Карточка контракта baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-CONTRACT-CARD
TT-BL-BTN-RUN,Запустить базовый прогон,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-BTN-RUN
TT-BL-BTN-ACCEPT,Принять результат как baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-BTN-ACCEPT
TT-BL-CURRENT-BASELINE,Текущий baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-CURRENT-BASELINE
TT-BL-HISTORY-TABLE,История baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-HISTORY-TABLE
TT-BL-RESULT-SNAPSHOT,Снимок результата,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-BL-RESULT-SNAPSHOT
TT-OP-MODE-SELECT,Выбор активного режима оптимизации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-MODE-SELECT
TT-OP-OBJECTIVE-STACK,Редактор стека целей,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-OBJECTIVE-STACK
TT-OP-HARD-GATE,Редактор жёсткого ограничения,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-HARD-GATE
TT-OP-BASELINE-SOURCE,Источник baseline и политика обновления,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-BASELINE-SOURCE
TT-OP-STAGERUNNER-BLOCK,Блок настроек StageRunner,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-STAGERUNNER-BLOCK
TT-OP-DISTRIBUTED-BLOCK,Блок distributed coordinator,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-DISTRIBUTED-BLOCK
TT-OP-HISTORY-SHORTLIST,Краткая история запусков,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-HISTORY-SHORTLIST
TT-OP-RESUME-BLOCK,Resume и диагностика запуска,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-RESUME-BLOCK
TT-OP-RUN-PREVIEW,Предпросмотр запуска,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-RUN-PREVIEW
TT-OP-BTN-LAUNCH,Главная кнопка запуска оптимизации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-BTN-LAUNCH
TT-OP-BTN-OPEN-MONITOR,Открыть монитор выполнения,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-BTN-OPEN-MONITOR
TT-OP-BTN-OPEN-RESULTS,Открыть результаты последнего запуска,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-BTN-OPEN-RESULTS
TT-MN-STAGE-HERO,Hero текущей стадии,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-STAGE-HERO
TT-MN-PROGRESS-BAR,Главный индикатор прогресса,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-PROGRESS-BAR
TT-MN-CURRENT-STAGE-TABLE,Текущая стадия,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-CURRENT-STAGE-TABLE
TT-MN-COMBINED-TABLE,Сводная таблица,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-COMBINED-TABLE
TT-MN-GATE-REASONS,Причины gate и underfill,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-GATE-REASONS
TT-MN-LIVE-LOG,Живой журнал,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-LIVE-LOG
TT-MN-BTN-STOP,Остановить расчёт,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-BTN-STOP
TT-MN-BTN-OPEN-RUN-DIR,Открыть каталог запуска,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-BTN-OPEN-RUN-DIR
TT-MN-BTN-OPEN-RESULTS,Открыть результаты,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-MN-BTN-OPEN-RESULTS
TT-RS-LEADERBOARD,Лидерборд запусков,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-LEADERBOARD
TT-RS-KPI-CARD-1,Карточка KPI комфорта,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-KPI-CARD-1
TT-RS-KPI-CARD-2,Карточка KPI крена,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-KPI-CARD-2
TT-RS-KPI-CARD-3,Карточка KPI энергии,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-KPI-CARD-3
TT-RS-COMPARE-CHART,График сравнения baseline и выбранного run,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-COMPARE-CHART
TT-RS-METRIC-TABLE,Таблица итоговых метрик,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-METRIC-TABLE
TT-RS-BTN-ACCEPT-BASELINE,Принять как baseline,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-BTN-ACCEPT-BASELINE
TT-RS-BTN-OPEN-ANALYTICS,Открыть аналитику,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-BTN-OPEN-ANALYTICS
TT-RS-BTN-OPEN-ANIMATOR,Открыть аниматор,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-BTN-OPEN-ANIMATOR
TT-RS-BTN-EXPORT,Экспортировать результаты,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-BTN-EXPORT
TT-AN-RUN-SELECT,Выбор запусков для анализа,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-RUN-SELECT
TT-AN-METRIC-SELECT,Выбор метрики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-METRIC-SELECT
TT-AN-VIEW-MODE,Режим вида аналитики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-VIEW-MODE
TT-AN-MAIN-CHART,Главный график,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-MAIN-CHART
TT-AN-SECONDARY-CHART,Дополнительный график,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-SECONDARY-CHART
TT-AN-TABLE,Таблица аналитики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-TABLE
TT-AN-EXPLANATION,Пояснение результата,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-EXPLANATION
TT-AN-BTN-OPEN-ANIMATOR,Открыть аниматор,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AN-BTN-OPEN-ANIMATOR
TT-AM-VIEWPORT,3D viewport,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-VIEWPORT
TT-AM-VIEWCUBE,Навигационный куб,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-VIEWCUBE
TT-AM-HOME-VIEW,Домашний вид,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-HOME-VIEW
TT-AM-VIEW-PRESETS,Предустановленные виды,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-VIEW-PRESETS
TT-AM-SEGMENT-HUD,HUD сегмента и времени,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-SEGMENT-HUD
TT-AM-TRUTH-BANNER,Баннер достоверности,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-TRUTH-BANNER
TT-AM-TIMELINE,Таймлайн аниматора,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-TIMELINE
TT-AM-DETACH,Отстыковать аниматор,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-DETACH
TT-DG-BTN-COLLECT,Собрать диагностику,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-BTN-COLLECT
TT-DG-BTN-OPEN-LAST,Открыть последний архив,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-BTN-OPEN-LAST
TT-DG-CONTENTS,Состав пакета диагностики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-CONTENTS
TT-DG-SETTINGS,Настройки диагностики,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-SETTINGS
TT-DG-HEALTH,Состояние self-check,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-HEALTH
TT-DG-LAST-BUNDLE,Сведения о последнем архиве,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-LAST-BUNDLE
TT-DG-HISTORY,История диагностических архивов,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-HISTORY
TT-ST-CATEGORY-LIST,Список категорий параметров,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ST-CATEGORY-LIST
TT-ST-SEARCH,Поиск по параметрам и инструментам,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ST-SEARCH
TT-ST-FORM,Форма выбранной категории,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-ST-FORM
TT-RG-SCENARIO-NAME,Имя сценария для пользователя и истории.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SCENARIO-NAME
TT-RG-CLOSURE-POLICY,Как последний сегмент замыкается на первый.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-CLOSURE-POLICY
TT-RG-V0,Начальная скорость прохождения сценария.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-V0
TT-RG-DX,Пространственный шаг генерации дорожного профиля.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-DX
TT-RG-LAPS,Сколько кругов формирует сценарий.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-LAPS
TT-RG-SEED,Код повторяемости генератора.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SEED
TT-RG-SEGMENT-ID,Порядковый номер сегмента.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SEGMENT-ID
TT-RG-SEGMENT-LABEL,Короткое имя сегмента.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SEGMENT-LABEL
TT-RG-SEGMENT-LENGTH,Длина участка по оси траектории.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SEGMENT-LENGTH
TT-RG-TURN-TYPE,"Структурный тип сегмента: прямо, влево, вправо.","Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-TURN-TYPE
TT-RG-RADIUS,Радиус сегмента поворота.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-RADIUS
TT-RG-ARC-ANGLE,Угол поворота сегмента.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-ARC-ANGLE
TT-RG-END-HEIGHT,Высота центральной линии дороги в конце сегмента.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-END-HEIGHT
TT-RG-CROSSFALL,Поперечный уклон сегмента.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-CROSSFALL
TT-RG-SURFACE-TYPE,Генератор и класс покрытия.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SURFACE-TYPE
TT-RG-SURFACE-CLASS,"Класс ISO8608, имя CSV или описание ручного профиля.","Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SURFACE-CLASS
TT-RG-SINE-AMPLITUDE,Амплитуда синусоидального профиля.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SINE-AMPLITUDE
TT-RG-SINE-WAVELENGTH,Пространственная длина волны.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-SINE-WAVELENGTH
TT-RG-PHASE-RIGHT,Фазовый сдвиг правой колеи относительно левой.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-PHASE-RIGHT
TT-RG-RANDOM-PHASES,Разрешить случайную фазу микропрофиля.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-RANDOM-PHASES
TT-RG-TARGET-SPEED,"Режим прохождения сегмента, не тип геометрии.","Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-TARGET-SPEED
TT-RG-NOTE,Дополнительное пояснение по сегменту.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-RG-NOTE
TT-TS-ENABLED,Будет ли испытание участвовать в расчёте.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-ENABLED
TT-TS-NAME,Уникальное имя строки испытания.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-NAME
TT-TS-TYPE,Тип испытания.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-TYPE
TT-TS-STAGE,"Первый runtime-tier, в который входит испытание.","Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-STAGE
TT-TS-DT,Шаг интегрирования для этого испытания.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-DT
TT-TS-T-END,Продолжительность испытания.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-T-END
TT-TS-SCENARIO-LINK,Связанный сценарий из редактора кольца.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-SCENARIO-LINK
TT-TS-ROAD-CSV,Путь к файлу профиля дороги.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-ROAD-CSV
TT-TS-AXAY-CSV,Путь к файлу управляющих ускорений.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-AXAY-CSV
TT-TS-SCENARIO-JSON,Путь к JSON сценария.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-SCENARIO-JSON
TT-TS-MAX-CONTACT-LOSS,Ограничение на допустимую потерю контакта.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-MAX-CONTACT-LOSS
TT-TS-PARAMS-OVERRIDE,Локальные overrides параметров для испытания.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-PARAMS-OVERRIDE
TT-TS-NOTE,Комментарий к испытанию.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-TS-NOTE
TT-BL-RUN-NAME,Имя запуска базового прогона.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-BL-RUN-NAME
TT-BL-BASELINE-SOURCE,Откуда взят текущий baseline.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-BL-BASELINE-SOURCE
TT-BL-AUTO-UPDATE,Разрешить накопительное обновление baseline после принятия результата.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-BL-AUTO-UPDATE
TT-BL-SUITE-SUMMARY,Какие испытания войдут в базовый прогон.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-BL-SUITE-SUMMARY
TT-BL-OUTPUT-DIR,Куда будут записаны результаты прогона.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-BL-OUTPUT-DIR
TT-OP-MODE,Активный режим запуска.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-MODE
TT-OP-MINUTES,Общий бюджет времени оптимизации.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-MINUTES
TT-OP-JOBS,Количество рабочих процессов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-JOBS
TT-OP-USE-STAGED,Включить StageRunner.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-USE-STAGED
TT-OP-AUTO-UPDATE-BASELINE,"Если включено, лучший результат можно принять как новый baseline.","Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-AUTO-UPDATE-BASELINE
TT-OP-WARMSTART,Источник стартовых кандидатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-WARMSTART
TT-OP-SURROGATE-SAMPLES,Число выборок для surrogate warm-start.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-SURROGATE-SAMPLES
TT-OP-SURROGATE-TOPK,Размер элитного множества surrogate.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-SURROGATE-TOPK
