id,название,структура_развёрнутого_описания
HELP-SH-INSPECTOR-HEADER,,"{""id"": ""HELP-SH-INSPECTOR-HEADER"", ""название"": ""Заголовок выбранного элемента"", ""структура_развёрнутого_описания"": {""что_это"": ""Заголовок выбранного элемента"", ""зачем_нужно"": ""Показывает имя выбранного объекта, его источник и статус достоверности."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-INSPECTOR-CONTENT,,"{""id"": ""HELP-SH-INSPECTOR-CONTENT"", ""название"": ""Содержимое правой панели"", ""структура_развёрнутого_описания"": {""что_это"": ""Содержимое правой панели"", ""зачем_нужно"": ""Редактирование свойств, развёрнутая справка и локальные предупреждения."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-STATUS-MODE,,"{""id"": ""HELP-SH-STATUS-MODE"", ""название"": ""Текущий режим"", ""структура_развёрнутого_описания"": {""что_это"": ""Текущий режим"", ""зачем_нужно"": ""Активное рабочее пространство и режим запуска."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-STATUS-STAGE,,"{""id"": ""HELP-SH-STATUS-STAGE"", ""название"": ""Текущая стадия"", ""структура_развёрнутого_описания"": {""что_это"": ""Текущая стадия"", ""зачем_нужно"": ""Текущая стадия базового прогона или оптимизации."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-STATUS-PROGRESS,,"{""id"": ""HELP-SH-STATUS-PROGRESS"", ""название"": ""Нижний индикатор прогресса"", ""структура_развёрнутого_описания"": {""что_это"": ""Нижний индикатор прогресса"", ""зачем_нужно"": ""Сжатый индикатор хода длительной операции; подробности всегда дублируются в центре экрана."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-STATUS-WARNINGS,,"{""id"": ""HELP-SH-STATUS-WARNINGS"", ""название"": ""Индикатор предупреждений"", ""структура_развёрнутого_описания"": {""что_это"": ""Индикатор предупреждений"", ""зачем_нужно"": ""Количество предупреждений и быстрый переход к панели проверки."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-SH-STATUS-LOGS,,"{""id"": ""HELP-SH-STATUS-LOGS"", ""название"": ""Журнал и диагностика"", ""структура_развёрнутого_описания"": {""что_это"": ""Журнал и диагностика"", ""зачем_нужно"": ""Быстрые ссылки на журнал, каталог run и диагностику."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-STEP-BAR,,"{""id"": ""HELP-PJ-STEP-BAR"", ""название"": ""Линейка шагов pipeline"", ""структура_развёрнутого_описания"": {""что_это"": ""Линейка шагов pipeline"", ""зачем_нужно"": ""Показывает текущий шаг: исходные данные → сценарии → испытания → базовый прогон → оптимизация → анализ → анимация → диагностика."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-PROJECT-STATE,,"{""id"": ""HELP-PJ-CARD-PROJECT-STATE"", ""название"": ""Карточка состояния проекта"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка состояния проекта"", ""зачем_нужно"": ""Имя проекта, путь, время последнего сохранения, статус dirty/clean, активный workspace."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-LAST-BASELINE,,"{""id"": ""HELP-PJ-CARD-LAST-BASELINE"", ""название"": ""Карточка последнего baseline"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка последнего baseline"", ""зачем_нужно"": ""Последний baseline, время принятия, источник, ключевые KPI."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-LAST-RUN,,"{""id"": ""HELP-PJ-CARD-LAST-RUN"", ""название"": ""Карточка последнего запуска"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка последнего запуска"", ""зачем_нужно"": ""Последний run, его режим, objective contract и статус."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-DIAGNOSTICS,,"{""id"": ""HELP-PJ-CARD-DIAGNOSTICS"", ""название"": ""Карточка диагностики"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка диагностики"", ""зачем_нужно"": ""Свежесть последнего диагностического архива и состояние self-check."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-CONTRACT-WARNINGS,,"{""id"": ""HELP-PJ-CARD-CONTRACT-WARNINGS"", ""название"": ""Карточка предупреждений контракта"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка предупреждений контракта"", ""зачем_нужно"": ""Предупреждения по solver_points, hardpoints, packaging, suite или baseline."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-CARD-QUICK-METRICS,,"{""id"": ""HELP-PJ-CARD-QUICK-METRICS"", ""название"": ""Карточка быстрых метрик"", ""структура_развёрнутого_описания"": {""что_это"": ""Карточка быстрых метрик"", ""зачем_нужно"": ""Краткий свод по комфорту, крену, энергии и потере контакта."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-BTN-CONTINUE,,"{""id"": ""HELP-PJ-BTN-CONTINUE"", ""название"": ""Продолжить работу"", ""структура_развёрнутого_описания"": {""что_это"": ""Продолжить работу"", ""зачем_нужно"": ""Открывает следующий рекомендуемый шаг."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-BTN-OPEN-INPUTS,,"{""id"": ""HELP-PJ-BTN-OPEN-INPUTS"", ""название"": ""Открыть исходные данные"", ""структура_развёрнутого_описания"": {""что_это"": ""Открыть исходные данные"", ""зачем_нужно"": ""Переход к входным параметрам."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-BTN-OPEN-RING,,"{""id"": ""HELP-PJ-BTN-OPEN-RING"", ""название"": ""Открыть редактор кольца"", ""структура_развёрнутого_описания"": {""что_это"": ""Открыть редактор кольца"", ""зачем_нужно"": ""Переход к сценариям и кольцу."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-BTN-OPEN-SUITE,,"{""id"": ""HELP-PJ-BTN-OPEN-SUITE"", ""название"": ""Открыть матрицу испытаний"", ""структура_развёрнутого_описания"": {""что_это"": ""Открыть матрицу испытаний"", ""зачем_нужно"": ""Переход к набору испытаний."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-PJ-BTN-OPEN-OPT,,"{""id"": ""HELP-PJ-BTN-OPEN-OPT"", ""название"": ""Открыть центр оптимизации"", ""структура_развёрнутого_описания"": {""что_это"": ""Открыть центр оптимизации"", ""зачем_нужно"": ""Переход к solve-center."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-TAB-GEOMETRY,,"{""id"": ""HELP-ID-TAB-GEOMETRY"", ""название"": ""Геометрия"", ""структура_развёрнутого_описания"": {""что_это"": ""Геометрия"", ""зачем_нужно"": ""Параметры геометрии рамы, рычагов, точек крепления цилиндров."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-TAB-PNEUMATICS,,"{""id"": ""HELP-ID-TAB-PNEUMATICS"", ""название"": ""Пневматика"", ""структура_развёрнутого_описания"": {""что_это"": ""Пневматика"", ""зачем_нужно"": ""Параметры магистралей, ресиверов, клапанов, давлений и расходов."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-TAB-MASS,,"{""id"": ""HELP-ID-TAB-MASS"", ""название"": ""Массы и инерции"", ""структура_развёрнутого_описания"": {""что_это"": ""Массы и инерции"", ""зачем_нужно"": ""Массы и моменты инерции."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-TAB-MODES,,"{""id"": ""HELP-ID-TAB-MODES"", ""название"": ""Режимы и флаги"", ""структура_развёрнутого_описания"": {""что_это"": ""Режимы и флаги"", ""зачем_нужно"": ""Нечисловые режимы и логические флаги."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-PARAM-FILTER,,"{""id"": ""HELP-ID-PARAM-FILTER"", ""название"": ""Фильтр параметров"", ""структура_развёрнутого_описания"": {""что_это"": ""Фильтр параметров"", ""зачем_нужно"": ""Поиск параметров по имени, обозначению и тегам помощи."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-SHOW-ONLY-OPT,,"{""id"": ""HELP-ID-SHOW-ONLY-OPT"", ""название"": ""Показывать только оптимизируемые"", ""структура_развёрнутого_описания"": {""что_это"": ""Показывать только оптимизируемые"", ""зачем_нужно"": ""Фильтр списка параметров."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-PARAM-TABLE,,"{""id"": ""HELP-ID-PARAM-TABLE"", ""название"": ""Таблица параметров"", ""структура_развёрнутого_описания"": {""что_это"": ""Таблица параметров"", ""зачем_нужно"": ""Главная таблица параметров по реестру."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-PREVIEW-SWITCH,,"{""id"": ""HELP-ID-PREVIEW-SWITCH"", ""название"": ""Переключатель графического представления"", ""структура_развёрнутого_описания"": {""что_это"": ""Переключатель графического представления"", ""зачем_нужно"": ""Переключение между схемой подвески, схемой пневматики, диапазонами хода и массами."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
HELP-ID-PREVIEW-CANVAS,,"{""id"": ""HELP-ID-PREVIEW-CANVAS"", ""название"": ""Графическое представление входных данных"", ""структура_развёрнутого_описания"": {""что_это"": ""Графическое представление входных данных"", ""зачем_нужно"": ""Главная графика для выбранной группы параметров."", ""как_влияет_на_поток"": ""Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции."", ""единицы_измерения_если_применимо"": ""Определяются контекстом выбранного поля или объекта."", ""ограничения_и_валидация"": ""Берутся из source-of-truth выбранного поля, объекта или режима."", ""связанные_элементы"": [], ""где_пользователь_видит_результат"": ""В связанном preview, inspector, run-monitor, анализе или аниматоре.""}}"
