node_id,scope,surface,kind,label_current,label_recommended,semantic_issue,severity,why_it_hurts,status,semantic_quality_score_1_5
IN-LIST-GROUP-FIELDS,optimized,WS-INPUTS,field_list,Список полей активной группы,Список полей активной группы,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CARD-GROUP-SUMMARY,optimized,WS-INPUTS,summary_card,Карточка сводки активной группы,Карточка сводки активной группы,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-FILTER-REQUIRED,optimized,WS-INPUTS,ghost_button,Показать только обязательные,Показать только обязательные,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-SHOW-ONLY-INVALID,optimized,WS-INPUTS,ghost_button,Показать только проблемные,Показать только проблемные,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-FORM-FIELD-HOST,optimized,WS-INPUTS,form_host,Область полей активной группы,Область полей активной группы,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-COMPARE-LAST-SAVED,optimized,WS-INPUTS,ghost_button,Сравнить с последним сохранением,Сравнить с последним сохранением,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-FRAME-TOP,optimized,WS-INPUTS,canvas,Эскиз рамы сверху,Эскиз рамы сверху,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-SUSP-FRONT,optimized,WS-INPUTS,canvas,Эскиз подвески спереди,Эскиз подвески спереди,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-SUSP-SIDE,optimized,WS-INPUTS,canvas,Эскиз подвески сбоку,Эскиз подвески сбоку,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-PNEUMO-SCHEME,optimized,WS-INPUTS,canvas,Схема пневматической сети,Схема пневматической сети,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-CYLINDER-RANGE,optimized,WS-INPUTS,canvas,Диапазоны хода цилиндров,Диапазоны хода цилиндров,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-CANVAS-MASS-MAP,optimized,WS-INPUTS,canvas,Карта масс и центра тяжести,Карта масс и центра тяжести,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-LEGEND-TWIN-MODE,optimized,WS-INPUTS,legend,Легенда режима visual twin,Легенда режима visual twin,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TXT-TWIN-SOURCE,optimized,WS-INPUTS,caption,Подпись источника visual twin,Подпись источника visual twin,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TXT-TWIN-WARNING,optimized,WS-INPUTS,warning_text,Предупреждение visual twin,Предупреждение visual twin,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BANNER-VALIDATION,optimized,WS-INPUTS,message_bar,Баннер проверки исходных данных,Баннер проверки исходных данных,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TABLE-VALIDATION-ISSUES,optimized,WS-INPUTS,data_table,Таблица validation issues,Таблица validation issues,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-TABLE-DIRTY-DIFF,optimized,WS-INPUTS,data_table,Таблица отличий от last saved,Таблица отличий от last saved,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-VALIDATE,optimized,WS-INPUTS,primary_button,Проверить исходные данные,Проверить исходные данные,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-SAVE,optimized,WS-INPUTS,primary_button,Сохранить исходные данные,Сохранить исходные данные,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-APPLY,optimized,WS-INPUTS,secondary_button,Применить и обновить эскизы,Применить и обновить эскизы,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-REVERT-GROUP,optimized,WS-INPUTS,secondary_button,Откатить активную группу,Откатить активную группу,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-RESET-DEFAULTS,optimized,WS-INPUTS,secondary_button,Сбросить к каноническим defaults,Сбросить к каноническим defaults,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-BACK-PROJECT,optimized,WS-INPUTS,ghost_button,Вернуться к панели проекта,Вернуться к панели проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-TO-RING,optimized,WS-INPUTS,primary_button,Перейти в редактор кольца,Перейти в редактор кольца,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-TO-SUITE,optimized,WS-INPUTS,secondary_button,Перейти в матрицу испытаний,Перейти в матрицу испытаний,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-BTN-OPEN-DIAG,optimized,WS-INPUTS,ghost_button,Открыть диагностику,Открыть диагностику,none,low,Семантика понятна и не требует переписывания.,keep,5
IN-HELP-ANCHOR,optimized,WS-INPUTS,help_anchor,Контекстная справка исходных данных,Контекстная справка исходных данных,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_project_meta,optimized,WS-INPUTS,field_group,group_project_meta,group_project_meta,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_frame_geometry,optimized,WS-INPUTS,field_group,group_frame_geometry,group_frame_geometry,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_masses_inertia,optimized,WS-INPUTS,field_group,group_masses_inertia,group_masses_inertia,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_springs,optimized,WS-INPUTS,field_group,group_springs,group_springs,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_cylinders,optimized,WS-INPUTS,field_group,group_cylinders,group_cylinders,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_pneumatics,optimized,WS-INPUTS,field_group,group_pneumatics,group_pneumatics,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_numerics,optimized,WS-INPUTS,field_group,group_numerics,group_numerics,none,low,Семантика понятна и не требует переписывания.,keep,5
FIELDGROUP-WS-INPUTS-group_flags_modes,optimized,WS-INPUTS,field_group,group_flags_modes,group_flags_modes,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-PROJECT-NAME,optimized,WS-INPUTS,field,Название проекта,Название проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-PROJECT-CODE,optimized,WS-INPUTS,field,Код проекта,Код проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-WORKSPACE-ROOT,optimized,WS-INPUTS,field,Рабочий каталог проекта,Рабочий каталог проекта,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-VEHICLE-VARIANT,optimized,WS-INPUTS,field,Вариант машины,Вариант машины,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-UNIT-PROFILE,optimized,WS-INPUTS,field,Профиль единиц,Профиль единиц,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-MIRROR-MODE,optimized,WS-INPUTS,field,Режим зеркальности левого и правого борта,Режим зеркальности левого и правого борта,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-WHEELBASE,optimized,WS-INPUTS,field,База машины,База машины,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-FRONT-TRACK,optimized,WS-INPUTS,field,Передняя колея,Передняя колея,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-REAR-TRACK,optimized,WS-INPUTS,field,Задняя колея,Задняя колея,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-FRAME-LENGTH,optimized,WS-INPUTS,field,Длина рамы,Длина рамы,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-FRAME-WIDTH,optimized,WS-INPUTS,field,Ширина рамы,Ширина рамы,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-FRAME-HEIGHT,optimized,WS-INPUTS,field,Высота рамы,Высота рамы,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-GROUND-CLEARANCE,optimized,WS-INPUTS,field,Статический дорожный просвет,Статический дорожный просвет,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-CG-X,optimized,WS-INPUTS,field,Продольная координата центра тяжести,Продольная координата центра тяжести,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-CG-Y,optimized,WS-INPUTS,field,Поперечная координата центра тяжести,Поперечная координата центра тяжести,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-CG-Z,optimized,WS-INPUTS,field,Высота центра тяжести,Высота центра тяжести,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-MASS-TOTAL,optimized,WS-INPUTS,field,Полная масса машины,Полная масса машины,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-MASS-SPRUNG,optimized,WS-INPUTS,field,Подрессоренная масса,Подрессоренная масса,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-MASS-UNSPRUNG-FRONT,optimized,WS-INPUTS,field,Неподрессоренная масса передней оси,Неподрессоренная масса передней оси,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-MASS-UNSPRUNG-REAR,optimized,WS-INPUTS,field,Неподрессоренная масса задней оси,Неподрессоренная масса задней оси,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-IXX,optimized,WS-INPUTS,field,Момент инерции вокруг продольной оси,Момент инерции вокруг продольной оси,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-IYY,optimized,WS-INPUTS,field,Момент инерции вокруг поперечной оси,Момент инерции вокруг поперечной оси,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-IZZ,optimized,WS-INPUTS,field,Момент инерции вокруг вертикальной оси,Момент инерции вокруг вертикальной оси,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-PAYLOAD,optimized,WS-INPUTS,field,Дополнительная полезная нагрузка,Дополнительная полезная нагрузка,none,low,Семантика понятна и не требует переписывания.,keep,5
PI-FLD-SPRING-MODE-FR-C1,optimized,WS-INPUTS,field,Передняя пружина C1 — режим настройки,Передняя пружина первого контура (C1) — режим настройки,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-RATE-FR-C1,optimized,WS-INPUTS,field,Передняя пружина C1 — жёсткость,Передняя пружина первого контура (C1) — жёсткость,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-PRELOAD-FR-C1,optimized,WS-INPUTS,field,Передняя пружина C1 — преднатяг,Передняя пружина первого контура (C1) — преднатяг,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-MODE-FR-C2,optimized,WS-INPUTS,field,Передняя пружина C2 — режим настройки,Передняя пружина второго контура (C2) — режим настройки,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-RATE-FR-C2,optimized,WS-INPUTS,field,Передняя пружина C2 — жёсткость,Передняя пружина второго контура (C2) — жёсткость,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-PRELOAD-FR-C2,optimized,WS-INPUTS,field,Передняя пружина C2 — преднатяг,Передняя пружина второго контура (C2) — преднатяг,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-MODE-RR-C1,optimized,WS-INPUTS,field,Задняя пружина C1 — режим настройки,Задняя пружина первого контура (C1) — режим настройки,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-RATE-RR-C1,optimized,WS-INPUTS,field,Задняя пружина C1 — жёсткость,Задняя пружина первого контура (C1) — жёсткость,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-PRELOAD-RR-C1,optimized,WS-INPUTS,field,Задняя пружина C1 — преднатяг,Задняя пружина первого контура (C1) — преднатяг,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-MODE-RR-C2,optimized,WS-INPUTS,field,Задняя пружина C2 — режим настройки,Задняя пружина второго контура (C2) — режим настройки,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-RATE-RR-C2,optimized,WS-INPUTS,field,Задняя пружина C2 — жёсткость,Задняя пружина второго контура (C2) — жёсткость,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-SPRING-PRELOAD-RR-C2,optimized,WS-INPUTS,field,Задняя пружина C2 — преднатяг,Задняя пружина второго контура (C2) — преднатяг,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-BORE-FR-C1,optimized,WS-INPUTS,field,Передний цилиндр C1 — диаметр цилиндра,Передний цилиндр первого контура (C1) — диаметр цилиндра,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-STROKE-FR-C1,optimized,WS-INPUTS,field,Передний цилиндр C1 — ход штока,Передний цилиндр первого контура (C1) — ход штока,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Z-FR-C1,optimized,WS-INPUTS,field,Передний цилиндр C1 — верхняя точка крепления по высоте,Передний цилиндр первого контура (C1) — верхняя точка крепления по высоте,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Y-FR-C1,optimized,WS-INPUTS,field,Передний цилиндр C1 — верхняя точка крепления по ширине,Передний цилиндр первого контура (C1) — верхняя точка крепления по ширине,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-BORE-FR-C2,optimized,WS-INPUTS,field,Передний цилиндр C2 — диаметр цилиндра,Передний цилиндр второго контура (C2) — диаметр цилиндра,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-STROKE-FR-C2,optimized,WS-INPUTS,field,Передний цилиндр C2 — ход штока,Передний цилиндр второго контура (C2) — ход штока,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Z-FR-C2,optimized,WS-INPUTS,field,Передний цилиндр C2 — верхняя точка крепления по высоте,Передний цилиндр второго контура (C2) — верхняя точка крепления по высоте,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Y-FR-C2,optimized,WS-INPUTS,field,Передний цилиндр C2 — верхняя точка крепления по ширине,Передний цилиндр второго контура (C2) — верхняя точка крепления по ширине,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-BORE-RR-C1,optimized,WS-INPUTS,field,Задний цилиндр C1 — диаметр цилиндра,Задний цилиндр первого контура (C1) — диаметр цилиндра,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-STROKE-RR-C1,optimized,WS-INPUTS,field,Задний цилиндр C1 — ход штока,Задний цилиндр первого контура (C1) — ход штока,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Z-RR-C1,optimized,WS-INPUTS,field,Задний цилиндр C1 — верхняя точка крепления по высоте,Задний цилиндр первого контура (C1) — верхняя точка крепления по высоте,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-TOP-Y-RR-C1,optimized,WS-INPUTS,field,Задний цилиндр C1 — верхняя точка крепления по ширине,Задний цилиндр первого контура (C1) — верхняя точка крепления по ширине,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
PI-FLD-CYL-BORE-RR-C2,optimized,WS-INPUTS,field,Задний цилиндр C2 — диаметр цилиндра,Задний цилиндр второго контура (C2) — диаметр цилиндра,notation_without_name,high,Оставлять C1/C2 только вторым планом после полного названия.,rewrite,1
