id,название,структура_развёрнутого_описания
HELP-SH-INSPECTOR-HEADER,Заголовок выбранного элемента,"{'что_это': 'Заголовок выбранного элемента', 'зачем_нужно': 'Показывает имя выбранного объекта, его источник и статус достоверности.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-INSPECTOR-CONTENT,Содержимое правой панели,"{'что_это': 'Содержимое правой панели', 'зачем_нужно': 'Редактирование свойств, развёрнутая справка и локальные предупреждения.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-STATUS-MODE,Текущий режим,"{'что_это': 'Текущий режим', 'зачем_нужно': 'Активное рабочее пространство и режим запуска.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-STATUS-STAGE,Текущая стадия,"{'что_это': 'Текущая стадия', 'зачем_нужно': 'Текущая стадия базового прогона или оптимизации.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-STATUS-PROGRESS,Нижний индикатор прогресса,"{'что_это': 'Нижний индикатор прогресса', 'зачем_нужно': 'Сжатый индикатор хода длительной операции; подробности всегда дублируются в центре экрана.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-STATUS-WARNINGS,Индикатор предупреждений,"{'что_это': 'Индикатор предупреждений', 'зачем_нужно': 'Количество предупреждений и быстрый переход к панели проверки.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-SH-STATUS-LOGS,Журнал и диагностика,"{'что_это': 'Журнал и диагностика', 'зачем_нужно': 'Быстрые ссылки на журнал, каталог run и диагностику.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-STEP-BAR,Линейка шагов pipeline,"{'что_это': 'Линейка шагов pipeline', 'зачем_нужно': 'Показывает текущий шаг: исходные данные → сценарии → испытания → базовый прогон → оптимизация → анализ → анимация → диагностика.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-PROJECT-STATE,Карточка состояния проекта,"{'что_это': 'Карточка состояния проекта', 'зачем_нужно': 'Имя проекта, путь, время последнего сохранения, статус dirty/clean, активный workspace.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-LAST-BASELINE,Карточка последнего baseline,"{'что_это': 'Карточка последнего baseline', 'зачем_нужно': 'Последний baseline, время принятия, источник, ключевые KPI.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-LAST-RUN,Карточка последнего запуска,"{'что_это': 'Карточка последнего запуска', 'зачем_нужно': 'Последний run, его режим, objective contract и статус.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-DIAGNOSTICS,Карточка диагностики,"{'что_это': 'Карточка диагностики', 'зачем_нужно': 'Свежесть последнего диагностического архива и состояние self-check.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-CONTRACT-WARNINGS,Карточка предупреждений контракта,"{'что_это': 'Карточка предупреждений контракта', 'зачем_нужно': 'Предупреждения по solver_points, hardpoints, packaging, suite или baseline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-CARD-QUICK-METRICS,Карточка быстрых метрик,"{'что_это': 'Карточка быстрых метрик', 'зачем_нужно': 'Краткий свод по комфорту, крену, энергии и потере контакта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-BTN-CONTINUE,Продолжить работу,"{'что_это': 'Продолжить работу', 'зачем_нужно': 'Открывает следующий рекомендуемый шаг.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-BTN-OPEN-INPUTS,Открыть исходные данные,"{'что_это': 'Открыть исходные данные', 'зачем_нужно': 'Переход к входным параметрам.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-BTN-OPEN-RING,Открыть редактор кольца,"{'что_это': 'Открыть редактор кольца', 'зачем_нужно': 'Переход к сценариям и кольцу.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-BTN-OPEN-SUITE,Открыть матрицу испытаний,"{'что_это': 'Открыть матрицу испытаний', 'зачем_нужно': 'Переход к набору испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-PJ-BTN-OPEN-OPT,Открыть центр оптимизации,"{'что_это': 'Открыть центр оптимизации', 'зачем_нужно': 'Переход к solve-center.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-TAB-GEOMETRY,Геометрия,"{'что_это': 'Геометрия', 'зачем_нужно': 'Параметры геометрии рамы, рычагов, точек крепления цилиндров.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-TAB-PNEUMATICS,Пневматика,"{'что_это': 'Пневматика', 'зачем_нужно': 'Параметры магистралей, ресиверов, клапанов, давлений и расходов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-TAB-MASS,Массы и инерции,"{'что_это': 'Массы и инерции', 'зачем_нужно': 'Массы и моменты инерции.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-TAB-MODES,Режимы и флаги,"{'что_это': 'Режимы и флаги', 'зачем_нужно': 'Нечисловые режимы и логические флаги.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-PARAM-FILTER,Фильтр параметров,"{'что_это': 'Фильтр параметров', 'зачем_нужно': 'Поиск параметров по имени, обозначению и тегам помощи.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-SHOW-ONLY-OPT,Показывать только оптимизируемые,"{'что_это': 'Показывать только оптимизируемые', 'зачем_нужно': 'Фильтр списка параметров.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-PARAM-TABLE,Таблица параметров,"{'что_это': 'Таблица параметров', 'зачем_нужно': 'Главная таблица параметров по реестру.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-PREVIEW-SWITCH,Переключатель графического представления,"{'что_это': 'Переключатель графического представления', 'зачем_нужно': 'Переключение между схемой подвески, схемой пневматики, диапазонами хода и массами.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-PREVIEW-CANVAS,Графическое представление входных данных,"{'что_это': 'Графическое представление входных данных', 'зачем_нужно': 'Главная графика для выбранной группы параметров.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-PREVIEW-LEGEND,Легенда и источник представления,"{'что_это': 'Легенда и источник представления', 'зачем_нужно': 'Объясняет цвета, тип представления и единицы измерения.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-VALIDATION-BANNER,Баннер локальной валидации,"{'что_это': 'Баннер локальной валидации', 'зачем_нужно': 'Показывает ошибки и предупреждения по выбранной группе параметров.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-BTN-AUTO-MIDSTROKE,Автоподбор к середине хода,"{'что_это': 'Автоподбор к середине хода', 'зачем_нужно': 'Автоматически подбирает пружины и исходные положения к статической середине хода.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-MIRROR-TOGGLE,Зеркалировать левый и правый борта,"{'что_это': 'Зеркалировать левый и правый борта', 'зачем_нужно': 'По умолчанию левый и правый борт зеркальны.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-ID-ASYMMETRY-TOGGLE,Разрешить асимметрию,"{'что_это': 'Разрешить асимметрию', 'зачем_нужно': 'Включает независимое редактирование левого и правого бортов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-SCENARIO-NAME,Название сценария,"{'что_это': 'Название сценария', 'зачем_нужно': 'Имя сценария для пользователя и истории.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
