REQ_ID,TITLE,CATEGORY,PRIORITY,STATUS,SOURCE_IDS,SCREEN_IDS,UI_IDS,ACC_IDS,TST_IDS,NOTES
REQ-011,"High DPI, mixed-DPI и Windows snap semantics обязательны",windows_platform,P0,covered,SRC-000;SRC-006;SRC-007;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-011,TST-011,Приложение работает корректно при mixed-DPI и стандартных Windows snap layouts.
REQ-012,"Глобальный поиск команд, экранов, сущностей и артефактов обязателен",shell,P1,covered,SRC-000;SRC-006;SRC-020,SHELL-SCR-01,SH-TITLE-APP-ICON;SH-TITLE-APP-NAME;SH-TITLE-PROJECT-NAME;SH-TITLE-DIRTY-BADGE;SH-TITLE-LAYOUT-PICKER;SH-TITLE-WINDOW-CONTROLS;SH-WS-SWITCHER;SH-CMD-SEARCH;SH-SEARCH-FILTER;SH-CONTEXT-TITLE;SH-PRIMARY-ACTION;SH-SECONDARY-ACTIONS;SH-DIAGNOSTICS;SH-MSG-SEVERITY;SH-MSG-TEXT;SH-MSG-DETAILS;SH-MSG-DISMISS;SH-BROWSER-TABS;SH-BROWSER-TREE;SH-BROWSER-LIST,ACC-012,TST-012,Command search — first-class shell layer.
REQ-013,Команда «Собрать диагностику» всегда заметна и доступна из любого рабочего пространства,diagnostics,P0,covered,SRC-000;SRC-007;SRC-019;SRC-020,SHELL-SCR-01,DI-TXT-TITLE;DI-BADGE-BUNDLE-MODE;DI-BADGE-LAST-BUNDLE;DI-BADGE-LAST-SHA;DI-BADGE-READY-SOURCE;DI-BADGE-HEALTH;DI-BTN-COLLECT;DI-BTN-OPEN-LATEST;DI-BTN-RERUN-SELFCHECK;DI-BTN-SHOW-EVIDENCE;DI-BTN-HELP;DI-BTN-PARAMETERS;DI-BTN-INSTRUMENTS;DI-TXT-BROWSER;DI-TREE-SOURCES;DI-CARD-SELECTED-RUN;DI-BADGE-RUN-ID;DI-BADGE-RUN-MODE;DI-BADGE-OBJECTIVE;DI-BADGE-BASELINE,ACC-013,TST-013,Одна заметная кнопка diagnostics по всему shell.
REQ-014,"WS-PROJECT показывает состояние проекта, блокеры и следующее действие, но не дублирует редактирование инженерных чисел",project_model,P1,covered,SRC-000;SRC-021,PROJECT-SCR-01;PROJECT-SCR-02;PROJECT-SCR-03,PR-TXT-TITLE;PR-BADGE-PROJECT-ID;PR-BADGE-DIRTY;PR-BADGE-HEALTH;PR-TXT-LAST-SAVE;PR-CARD-NEXT-ACTION;PR-BTN-NEXT-ACTION;PR-BTN-GO-INPUTS;PR-CARD-PIPELINE;PR-BTN-GO-RING;PR-BTN-GO-SUITE;PR-BTN-GO-BASELINE;PR-BTN-GO-OPT;PR-BTN-GO-DIAG;PR-TABLE-BLOCKERS;PR-TABLE-WARNINGS;PR-CARD-RING-STATUS;PR-CARD-SUITE-STATUS;PR-CARD-BASELINE-STATUS;PR-CARD-DIAG-STATUS,ACC-014,TST-014,"Стартовый проектный экран является обзором, а не вторым редактором входных данных."
REQ-015,WS-INPUTS является единственной editable-поверхностью для model input master copy до handoff дальше по pipeline,inputs,P0,covered,SRC-000;SRC-021,INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06,IN-TXT-TITLE;IN-BADGE-DIRTY;IN-BADGE-UNIT-PROFILE;IN-BADGE-MIRROR-MODE;IN-STATUS-HANDOFF-READINESS;IN-TXT-UNSAVED-COUNT;IN-TABS-GROUPS;IN-TREE-GROUPS;IN-BTN-EXPAND-ALL;IN-BTN-COLLAPSE-ALL;IN-LIST-GROUP-FIELDS;IN-CARD-GROUP-SUMMARY;IN-BTN-FILTER-REQUIRED;IN-BTN-SHOW-ONLY-INVALID;IN-FORM-FIELD-HOST;IN-BTN-COMPARE-LAST-SAVED;IN-CANVAS-FRAME-TOP;IN-CANVAS-SUSP-FRONT;IN-CANVAS-SUSP-SIDE;IN-CANVAS-PNEUMO-SCHEME,ACC-015,TST-015,Входные числовые master-параметры редактируются только в одном месте.
REQ-016,У каждой core-группы входных данных есть обязательный графический двойник и двусторонняя синхронизация число↔графика,inputs,P0,covered,SRC-000;SRC-007;SRC-021,INPUTS-SCR-01;INPUTS-SCR-02;INPUTS-SCR-03;INPUTS-SCR-04;INPUTS-SCR-05;INPUTS-SCR-06,IN-TXT-TITLE;IN-BADGE-DIRTY;IN-BADGE-UNIT-PROFILE;IN-BADGE-MIRROR-MODE;IN-STATUS-HANDOFF-READINESS;IN-TXT-UNSAVED-COUNT;IN-TABS-GROUPS;IN-TREE-GROUPS;IN-BTN-EXPAND-ALL;IN-BTN-COLLAPSE-ALL;IN-LIST-GROUP-FIELDS;IN-CARD-GROUP-SUMMARY;IN-BTN-FILTER-REQUIRED;IN-BTN-SHOW-ONLY-INVALID;IN-FORM-FIELD-HOST;IN-BTN-COMPARE-LAST-SAVED;IN-CANVAS-FRAME-TOP;IN-CANVAS-SUSP-FRONT;IN-CANVAS-SUSP-SIDE;IN-CANVAS-PNEUMO-SCHEME,ACC-016,TST-016,"Геометрия, подвеска, пневматика, диапазоны движения и профиль дороги имеют numeric+visual surfaces."
REQ-017,Редактор циклического сценария является единственным источником истины для дороги и маршрута движения,scenario,P0,covered,SRC-000;SRC-007;SRC-013;SRC-025,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT;RG-BTN-INSERT-BEFORE;RG-BTN-INSERT-AFTER;RG-BTN-MOVE-UP;RG-BTN-MOVE-DOWN;RG-SEAM-BADGE;RING-MESSAGE-BAR;RG-PLAN-VIEW;RG-PLAN-LEGEND,ACC-017,TST-017,Все сценарии и генерация дороги исходят только из редактора циклического сценария.
REQ-018,Циклический сценарий нигде не должен рисоваться как геометрическое кольцо; используются только unfolded cyclic views,scenario,P0,covered,SRC-000;SRC-013;SRC-025,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04;AN-SCR-01;AN-SCR-02;AN-SCR-03;AN-SCR-04;AN-SCR-05;AN-SCR-06;AN-SCR-07;AN-SCR-08;AM-SCR-01;AM-SCR-02;AM-SCR-03;AM-SCR-04;AM-SCR-05;AM-SCR-06;AM-SCR-07;AM-SCR-08,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT;RG-BTN-INSERT-BEFORE;RG-BTN-INSERT-AFTER;RG-BTN-MOVE-UP;RG-BTN-MOVE-DOWN;RG-SEAM-BADGE;RING-MESSAGE-BAR;RG-PLAN-VIEW;RG-PLAN-LEGEND,ACC-018,TST-018,"Замыкание кольца логическое/расчётное, а не геометрическое."
REQ-019,"Сегмент 0 задаёт начальное и конечное состояние, сегменты 1..N-1 задают только конец, последний сегмент логически замыкается на первый",scenario,P0,covered,SRC-000;SRC-013;SRC-025,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT;RG-BTN-INSERT-BEFORE;RG-BTN-INSERT-AFTER;RG-BTN-MOVE-UP;RG-BTN-MOVE-DOWN;RG-SEAM-BADGE;RING-MESSAGE-BAR;RG-PLAN-VIEW;RG-PLAN-LEGEND,ACC-019,TST-019,Редактор кольца имеет жёсткий contract сегментов.
REQ-020,Поворот задаётся явно; продольная геометрия через конечные высоты; поперечный уклон одним параметром; разгон/торможение не тип сегмента,scenario,P0,covered,SRC-000;SRC-013;SRC-025,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FLD-SCENARIO-NAME;RG-FLD-CLOSURE-POLICY;RG-FLD-V0;RG-FLD-DX;RG-FLD-LAPS;RG-FLD-SEED;RG-FLD-ROAD-WIDTH;RG-BTN-GENERATE-PREVIEW;RG-SEGMENT-LIST;RG-BTN-ADD-SEGMENT;RG-BTN-DUP-SEGMENT;RG-BTN-DELETE-SEGMENT;RG-BTN-INSERT-BEFORE;RG-BTN-INSERT-AFTER;RG-BTN-MOVE-UP;RG-BTN-MOVE-DOWN;RG-SEAM-BADGE;RING-MESSAGE-BAR;RG-PLAN-VIEW;RG-PLAN-LEGEND,ACC-020,TST-020,Геометрия сегмента и режим прохождения разделены.
REQ-021,"WS-SUITE потребляет scenario refs и validated snapshot, но не владеет геометрией сценария",suite,P0,covered,SRC-014;SRC-022;SRC-026,SUITE-SCR-01;SUITE-SCR-02;SUITE-SCR-03;SUITE-SCR-04;SUITE-SCR-05;SUITE-SCR-06,TS-FLD-SUITE-NAME;TS-BADGE-SOURCE-TRUTH;TS-TXT-SUITE-COUNTS;TS-BTN-OPEN-RING;TS-FILTER-TYPE;TS-FILTER-STAGE;TS-FILTER-VALIDATION;TS-FILTER-TEXT;TS-BTN-ADD-FROM-RING;TS-BTN-ADD-TEMPLATE;TS-TABLE;TS-COL-ENABLED;TS-COL-NAME;TS-COL-TYPE;TS-COL-SOURCE;TS-COL-STAGE;TS-COL-PRIORITY;TS-COL-DT;TS-COL-TEND;TS-COL-VALIDATION,ACC-021,TST-021,Матрица испытаний не становится вторым источником сценарной геометрии.
REQ-022,Validated suite snapshot обязателен как handoff в WS-BASELINE и несёт upstream lineage,suite,P0,covered,SRC-014;SRC-022;SRC-023,SUITE-SCR-01;SUITE-SCR-02;SUITE-SCR-03;SUITE-SCR-04;SUITE-SCR-05;SUITE-SCR-06;BASELINE-SCR-01;BASELINE-SCR-02;BASELINE-SCR-03;BASELINE-SCR-04;BASELINE-SCR-05;BASELINE-SCR-06;BASELINE-SCR-07,TS-FLD-SUITE-NAME;TS-BADGE-SOURCE-TRUTH;TS-TXT-SUITE-COUNTS;TS-BTN-OPEN-RING;TS-FILTER-TYPE;TS-FILTER-STAGE;TS-FILTER-VALIDATION;TS-FILTER-TEXT;TS-BTN-ADD-FROM-RING;TS-BTN-ADD-TEMPLATE;TS-TABLE;TS-COL-ENABLED;TS-COL-NAME;TS-COL-TYPE;TS-COL-SOURCE;TS-COL-STAGE;TS-COL-PRIORITY;TS-COL-DT;TS-COL-TEND;TS-COL-VALIDATION,ACC-022,TST-022,Suite передаётся downstream только как validated frozen snapshot.
REQ-023,WS-BASELINE читает только validated snapshot и ведёт active baseline contract с явной политикой auto-update,baseline,P0,covered,SRC-015;SRC-023,BASELINE-SCR-01;BASELINE-SCR-02;BASELINE-SCR-03;BASELINE-SCR-04;BASELINE-SCR-05;BASELINE-SCR-06;BASELINE-SCR-07,BL-TXT-TITLE;BL-BADGE-SNAPSHOT-ID;BL-TXT-ACTIVE-BASELINE;BL-BTN-OPEN-SUITE;BL-BTN-OPEN-DIAG;BL-TXT-SNAPSHOT-PATH;BL-BADGE-SNAPSHOT-HASH;BL-BADGE-SNAPSHOT-VALIDATION;BL-TXT-SNAPSHOT-COUNTS;BL-BADGE-SNAPSHOT-STALE;BL-CARD-RING-COVERAGE;BL-CARD-STAGE-COVERAGE;BL-BTN-OPEN-SNAPSHOT;BL-BTN-REFRESH-SNAPSHOT;BL-BTN-SHOW-SNAPSHOT-MANIFEST;BL-FLD-SOURCE-KIND;BL-PATH-SOURCE-REF;BL-BADGE-SOURCE-COMPAT;BL-CARD-SOURCE-DELTA;BL-CARD-SOURCE-METRICS,ACC-023,TST-023,"Baseline является отдельным контрактом, а не молчаливой историей."
REQ-024,"WS-OPTIMIZATION читает active_baseline_contract и objective_contract, а run identity включает lineage и hard gate",optimization,P0,covered,SRC-016;SRC-023;SRC-024;SRC-026,OPT-SCR-01;OPT-SCR-02;OPT-SCR-03;OPT-SCR-04;OPT-SCR-05;OPT-SCR-06;OPT-SCR-07;OPT-SCR-08,OPT-TXT-TITLE;OPT-BADGE-BASELINE-ID;OPT-BADGE-OBJECTIVE-HASH;OPT-TXT-MODE;OPT-BTN-OPEN-BASELINE;OPT-BTN-OPEN-ANALYSIS;OPT-BTN-OPEN-ANIMATOR;OPT-PATH-BASELINE-CONTRACT;OPT-BADGE-BASELINE-SOURCE;OPT-BADGE-SNAPSHOT-HASH;OPT-BADGE-OBJECTIVE-VERSION;OPT-TXT-OBJECTIVE-STACK;OPT-TXT-HARD-GATE;OPT-BADGE-CONTRACT-DRIFT;OPT-BTN-SHOW-BASELINE-CONTRACT;OPT-BTN-SHOW-OBJECTIVE-CONTRACT;OPT-CARD-OBJECTIVE-ORDER;OPT-CARD-HARD-GATE;OPT-CARD-HASH-PAYLOAD;OPT-RAD-STAGE,ACC-024,TST-024,"Optimization identity и resume semantics зависят от lineage, objective stack и hard gate."
REQ-025,Для оптимизации существует только один активный режим запуска в конкретный момент времени,optimization,P0,covered,SRC-000;SRC-016;SRC-020,OPT-SCR-01;OPT-SCR-02;OPT-SCR-03;OPT-SCR-04;OPT-SCR-05;OPT-SCR-06;OPT-SCR-07;OPT-SCR-08,OPT-TXT-TITLE;OPT-BADGE-BASELINE-ID;OPT-BADGE-OBJECTIVE-HASH;OPT-TXT-MODE;OPT-BTN-OPEN-BASELINE;OPT-BTN-OPEN-ANALYSIS;OPT-BTN-OPEN-ANIMATOR;OPT-PATH-BASELINE-CONTRACT;OPT-BADGE-BASELINE-SOURCE;OPT-BADGE-SNAPSHOT-HASH;OPT-BADGE-OBJECTIVE-VERSION;OPT-TXT-OBJECTIVE-STACK;OPT-TXT-HARD-GATE;OPT-BADGE-CONTRACT-DRIFT;OPT-BTN-SHOW-BASELINE-CONTRACT;OPT-BTN-SHOW-OBJECTIVE-CONTRACT;OPT-CARD-OBJECTIVE-ORDER;OPT-CARD-HARD-GATE;OPT-CARD-HASH-PAYLOAD;OPT-RAD-STAGE,ACC-025,TST-025,StageRunner и distributed coordinator переключаются как mutually exclusive runtime modes.
