SCREEN_ID,SCREEN_NAME_RU,WORKSPACE_ID,MODE,ENTRY_NODE,ACTIVE_REGIONS,INSPECTOR_MODE,PRIMARY_ACTION,SECONDARY_ACTIONS,REFLOW_RULE,DESCRIPTION,SOURCE_ID,WINDOW_ID
BASELINE-SCR-01,Базовый прогон — обзор,WS-BASELINE,overview,BASE-01,BL-HEADER;BL-SNAPSHOT;BL-SOURCE;BL-RUN;BL-RESULT;BL-HISTORY;BL-HANDOFF,field_help,Проверить готовность baseline,Открыть матрицу испытаний;Открыть диагностику;Открыть историю,При narrow правая колонка переносится под центральный блок; при micro режим работы идёт по шагам «снимок → источник → запуск → результат».,"Стартовый экран рабочего пространства базового прогона. Пользователь видит validated snapshot, источник baseline, политику обновления, историю и готовность передачи в оптимизацию.",SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-02,Базовый прогон — снимок набора испытаний,WS-BASELINE,snapshot_review,BASE-01-SNAPSHOT,BL-HEADER;BL-SNAPSHOT;BL-SOURCE;BL-HANDOFF,snapshot_detail,Подтвердить использование validated snapshot,Открыть источник в WS-SUITE;Показать покрытие тестов;Экспортировать манифест,"При narrow карточка снимка раскрывается на всю ширину; при micro сначала показывается hash/версия/счётчики, затем графическое покрытие.",Режим проверки validated snapshot перед запуском базового прогона. Геометрия сценариев read-only и видна только как производный preview.,SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-03,Базовый прогон — выбор источника и политика,WS-BASELINE,source_policy,BASE-01-SOURCE,BL-HEADER;BL-SOURCE;BL-HISTORY;BL-HANDOFF,source_policy,Принять источник baseline,Выбрать baseline_best;Выбрать историю;Импортировать baseline,При narrow список источников становится вкладками; при micro используется пошаговый мастер «источник → политика обновления → готовность».,Режим выбора активного baseline-источника и политики auto-update без запуска оптимизации.,SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-04,Базовый прогон — выполнение,WS-BASELINE,run_progress,BASE-01-RUN,BL-HEADER;BL-SNAPSHOT;BL-SOURCE;BL-RUN;BL-RESULT,run_progress,Запустить базовый прогон,Остановить;Открыть журнал;Открыть артефакты,"При narrow правая сводка результата переносится под прогресс; при micro остаются верхний статус, progress bar и список тестов с шаговой навигацией.","Режим живого базового прогона: виден текущий тест, прогресс, счётчики и предупреждения на текущем экране.",SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-05,Базовый прогон — результат и принятие,WS-BASELINE,result_accept,BASE-01-RESULT,BL-HEADER;BL-RESULT;BL-HISTORY;BL-HANDOFF,result_accept,Сделать этот прогон активным baseline,Сохранить как исторический;Оставить текущий active baseline;Сравнить с baseline_best,"При narrow карточка результата становится полноширинной над историей; при micro сначала показываются verdict и ключевые метрики, затем действия принятия.","Режим анализа завершённого базового прогона и принятия решения, обновлять ли active baseline.",SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-06,Базовый прогон — история и сравнение,WS-BASELINE,history_compare,BASE-01-HISTORY,BL-HEADER;BL-HISTORY;BL-RESULT;BL-HANDOFF,history_compare,Сравнить выбранные baseline,Сделать выбранный baseline активным;Открыть run-артефакты;Закрепить как frozen,"При narrow таблица истории становится мастер-списком с карточкой сравнения; при micro сначала выбор строки, потом сравнение.","Режим работы с историей baseline, сравнением и ручным восстановлением источника.",SRC-015,WIN-MAIN-SHELL
BASELINE-SCR-07,Базовый прогон — передача в оптимизацию,WS-BASELINE,optimization_handoff,BASE-01-HANDOFF,BL-HEADER;BL-HANDOFF;BL-RESULT,optimization_handoff,Открыть рабочее пространство оптимизации,Показать active baseline contract;Открыть результаты baseline;Открыть диагностику,"При narrow handoff-блок раскрывается в полноширинную карточку; при micro сначала показываются blockers/ready-state, затем кнопка перехода.","Финальный экран handoff: WS-OPTIMIZATION потребляет только active_baseline_contract и validated snapshot hash, а не живую историю baseline.",SRC-015,WIN-MAIN-SHELL
OPT-SCR-01,Оптимизация — обзор и контракт,WS-OPTIMIZATION,overview,OPT-01,OT-HEADER;OT-CONTRACT;OT-MODE;OT-HISTORY;OT-HANDOFF,field_help,Проверить готовность optimization,Открыть baseline;Открыть диагностику;Открыть анализ,"При narrow история переносится под контракт; при micro сначала показываются baseline/objective hash, затем выбор режима.","Стартовый экран рабочего пространства оптимизации: видны baseline, objective contract, активный режим, история и готовность handoff.",SRC-016,WIN-MAIN-SHELL
OPT-SCR-02,Оптимизация — objective contract и hard gate,WS-OPTIMIZATION,contract_review,OPT-01-CONTRACT,OT-HEADER;OT-CONTRACT;OT-MODE,contract_detail,Подтвердить objective contract,Открыть active baseline contract;Показать contract drift;Экспортировать contract,"При narrow hard gate карточка переносится под objective stack; при micro сначала hash, затем ordered stack и gate.","Режим проверки objective stack, hard gate и problem identity до запуска.",SRC-016,WIN-MAIN-SHELL
OPT-SCR-03,Оптимизация — StageRunner настройка,WS-OPTIMIZATION,stage_setup,OPT-01-STAGE,OT-HEADER;OT-CONTRACT;OT-MODE;OT-STAGE,stage_setup,Запустить StageRunner,Открыть suite snapshot;Показать stage policy;Открыть baseline history,При narrow distributed блок скрывается полностью; при micro staged controls идут пошагово: время → warm-start → seed policy → gate.,Режим конфигурации рекомендуемого staged pipeline.,SRC-016,WIN-MAIN-SHELL
OPT-SCR-04,Оптимизация — StageRunner выполнение,WS-OPTIMIZATION,stage_progress,OPT-01-STAGE-RUN,OT-HEADER;OT-MODE;OT-STAGE;OT-PROGRESS;OT-HISTORY,run_progress,Остановить StageRunner,Открыть run dir;Открыть результаты;Открыть диагностику,"При narrow progress region становится полноширинной; при micro сначала progress, затем underfill/gate reasons.","Режим живого staged run с текущей стадией, counters и причинами underfill.",SRC-016,WIN-MAIN-SHELL
OPT-SCR-05,Оптимизация — distributed coordinator настройка,WS-OPTIMIZATION,dist_setup,OPT-01-DIST,OT-HEADER;OT-CONTRACT;OT-MODE;OT-DIST,dist_setup,Запустить distributed coordinator,Показать BoTorch advanced;Открыть DB/resume;Показать objective contract,При narrow staged блок скрывается полностью; при micro distributed controls разбиваются на backend → resume → qNEHVI.,Режим конфигурации распределённого оптимизационного пути.,SRC-016,WIN-MAIN-SHELL
OPT-SCR-06,Оптимизация — distributed выполнение и история,WS-OPTIMIZATION,dist_progress,OPT-01-DIST-RUN,OT-HEADER;OT-MODE;OT-DIST;OT-PROGRESS;OT-HISTORY,dist_progress,Остановить distributed coordinator,Открыть coordinator log;Открыть DB;Открыть результаты,"При narrow progress и история складываются в две полноширинные карточки; при micro сначала runtime contract, потом counters и история.",Режим живого distributed run и истории возобновления.,SRC-016,WIN-MAIN-SHELL
OPT-SCR-07,Оптимизация — история и сравнение,WS-OPTIMIZATION,history_compare,OPT-01-HISTORY,OT-HEADER;OT-CONTRACT;OT-HISTORY;OT-HANDOFF,history_compare,Сравнить выбранные optimization run,Открыть выбранный run;Показать contract mismatch;Открыть анализ,"При narrow таблица истории становится master-list с отдельной карточкой сравнения; при micro сначала выбор строк, потом compare.","Режим работы с историей запусков, сравнением и проверкой contract drift.",SRC-016,WIN-MAIN-SHELL
OPT-SCR-08,Оптимизация — handoff в анализ и аниматор,WS-OPTIMIZATION,handoff,OPT-01-HANDOFF,OT-HEADER;OT-HANDOFF;OT-HISTORY,handoff_detail,Открыть анализ для выбранного run,Открыть аниматор;Собрать диагностику;Показать export payload,"При narrow handoff-карточки становятся полноширинными; при micro сначала readiness badges, затем кнопки перехода.",Финальный экран передачи завершённого optimization run в WS-ANALYSIS и WS-ANIMATOR.,SRC-016,WIN-MAIN-SHELL
AN-SCR-01,Анализ — контракт выбранного прогона,WS-ANALYSIS,selected_run_contract,AN-01,AN-HEADER;AN-CONTRACT;AN-FILTER;AN-HANDOFF,field_help,Открыть результаты выбранного прогона,Открыть историю optimization;Показать contract drift;Открыть диагностику,"При narrow contract и filter складываются вертикально; при micro сначала contract summary, затем выбор test/segment.","Стартовый экран анализа: видны run contract, baseline/objective/snapshot hash, встроенный compare как основной маршрут и handoff к расширенному Compare Viewer.",SRC-017;SRC-032,WIN-MAIN-SHELL
AN-SCR-02,Анализ — настройка сравнения,WS-ANALYSIS,compare_setup,AN-01-COMPARE,AN-HEADER;AN-CONTRACT;AN-COMPARE;AN-FILTER,compare_help,Собрать compare contract,Открыть baseline;Проверить mismatch;Сбросить сравнение,"При narrow compare contract становится полноширинной карточкой; при micro сначала mode, затем left/right и filters.","Режим выбора baseline-vs-run, run-vs-run и внутренних сравнений по test/segment.",SRC-017,WIN-MAIN-SHELL
AN-SCR-03,Анализ — обзор результатов,WS-ANALYSIS,results_overview,AN-01-RESULTS,AN-HEADER;AN-CONTRACT;AN-RESULTS;AN-FILTER,result_summary,Открыть графики по испытанию,Открыть compare;Открыть экспорт;Открыть аниматор,"При narrow таблица метрик уходит под summary badges; при micro сначала KPI summary, затем таблица.","Обзор выбранного run: главные KPI, penalty, best candidate, per-test наличие артефактов.",SRC-017,WIN-MAIN-SHELL
AN-SCR-04,Анализ — графики по испытанию,WS-ANALYSIS,test_charts,AN-01-TEST,AN-HEADER;AN-FILTER;AN-RESULTS;AN-CHART,chart_help,Открыть сравнение по выбранному испытанию,Перейти к сегменту;Экспортировать график;Открыть diagnostics evidence,"При narrow chart stack становится вертикальным; при micro сначала selector test, затем chart preset и legend.",Режим анализа временных рядов и метрик по одному испытанию.,SRC-017,WIN-MAIN-SHELL
AN-SCR-05,Анализ — анализ по сценарию и сегменту,WS-ANALYSIS,segment_analysis,AN-01-SEGMENT,AN-HEADER;AN-FILTER;AN-SEGMENT;AN-CHART,segment_help,Открыть выбранный сегмент в аниматоре,Открыть ring context;Экспортировать segment report;Показать segment mismatch,"При narrow segment list становится master-list; при micro сначала scenario selector, затем segment selector и chart.",Режим анализа по segment_id и сценарию; потребляет suite snapshot и road metadata.,SRC-017,WIN-MAIN-SHELL
AN-SCR-06,Анализ — сравнение прогонов,WS-ANALYSIS,run_compare,AN-01-RUNCOMPARE,AN-HEADER;AN-CONTRACT;AN-COMPARE;AN-RESULTS;AN-CHART,compare_help,Построить сравнение выбранных прогонов,Открыть mismatch details;Экспортировать compare package;Открыть историю,"При narrow compare matrix и charts идут друг под другом; при micro сначала contract mismatch banner, затем compare table.",Режим сравнения baseline-vs-run и run-vs-run с явным compare contract.,SRC-017,WIN-MAIN-SHELL
AN-SCR-07,Анализ — экспорт отчётов и таблиц,WS-ANALYSIS,export_report,AN-01-EXPORT,AN-HEADER;AN-EXPORT;AN-RESULTS,export_help,Собрать export manifest,Скачать CSV/XLSX;Скачать PDF summary;Открыть diagnostics handoff,"При narrow export presets и include-lists становятся двумя вертикальными карточками; при micro сначала format, затем scope и manifest preview.",Режим сборки export manifest и пользовательского отчета без потери units и compare context.,SRC-017,WIN-MAIN-SHELL
AN-SCR-08,Анализ — handoff в аниматор и диагностику,WS-ANALYSIS,handoff,AN-01-HANDOFF,AN-HEADER;AN-HANDOFF;AN-CONTRACT,handoff_help,Открыть выбранный run в аниматоре,Открыть diagnostics bundle prep;Открыть export manifest;Вернуться к overview,"При narrow animator и diagnostics handoff cards складываются вертикально; при micro сначала animator handoff, затем diagnostics.","Режим передачи selected run, selected test и evidence manifest в downstream workspaces.",SRC-017,WIN-MAIN-SHELL
AM-SCR-01,Аниматор — gate контекста анализа,WS-ANIMATOR,context_gate,AM-01,AM-HEADER;AM-VIEWPORT;AM-INSPECTOR,context_help,Проверить контракт и открыть артефакт анимации,Открыть анализ;Показать mismatch;Открыть диагностику,"При narrow viewport уходит под header, inspector становится полноширинным стеком; при micro остаются header, gate-card и одна кнопка handoff.","Стартовый экран: видно selected analysis context, hashes run/baseline/objective, проверку artifact pointers и исход truthful/degraded state.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-02,Аниматор — обзор проигрывания,WS-ANIMATOR,playback_overview,AM-PLAY,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-TRANSPORT;AM-INSPECTOR,selection_summary,Запустить проигрывание,Поставить на паузу;Шагнуть по кадру;Сбросить камеру,"При narrow browser уходит во вкладку, transport остаётся под viewport; при micro transport превращается в компактную полосу с play/pause и временем.","Основной режим аниматора: viewport, transport, truth badges, source badges и выбранный run context.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-03,Аниматор — фокус по испытанию и сегменту,WS-ANIMATOR,test_segment_focus,AM-SEG,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-TRANSPORT;AM-INSPECTOR,segment_details,Выбрать испытание и сегмент,Показать segment overlay;Синхронизировать время из анализа;Открыть compare overlay,При narrow списки test/segment складываются вертикально; при micro виден только active test и выпадающий список segment.,"Режим, где per-test и per-segment анализ становятся first-class и ведут viewport overlays.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-04,Аниматор — выбор подвески и hardpoints,WS-ANIMATOR,suspension_selection,AM-HARDPOINTS,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-INSPECTOR;AM-TRANSPORT,hardpoint_details,Выбрать объект подвески,Показать hardpoints;Показать координаты;Сбросить выбор,"При narrow inspector получает табы «Координаты/Предупреждения»; при micro viewport остаётся сверху, координаты уходят под него.","Фокус на рычагах, колесе, точках крепления и координатах из explicit hardpoints source-of-truth.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-05,Аниматор — truth-инспекция цилиндра,WS-ANIMATOR,cylinder_truth_inspect,AM-CYL,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-INSPECTOR;AM-TRANSPORT,cylinder_truth,Открыть truth-card выбранного цилиндра,Показать axis-only режим;Показать packaging warnings;Открыть диагностику,При narrow packaging card становится полноширинной под viewport; при micro warning badge и truth badge остаются в header.,"Показывает full-truth vs axis-only режим по выбранному цилиндру, с упаковкой, ходом и списком недостающих полей контракта.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-06,Аниматор — truth-инспекция дороги,WS-ANIMATOR,road_truth_inspect,AM-ROAD,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-INSPECTOR;AM-TRANSPORT,road_truth,Показать road source и segment metadata,Показать grid/ground;Показать source warnings;Открыть Ring Editor context,При narrow road cards становятся аккордеонами; при micro остаётся только segment summary и кнопка источника.,"Показывает источник road ribbon, profile/segment metadata и предупреждения по incomplete road contract.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-07,Аниматор — compare overlay,WS-ANIMATOR,compare_overlay,AM-COMPARE,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-INSPECTOR;AM-TRANSPORT,compare_truth,Включить compare overlay,Изменить ghost alpha;Показать mismatch;Отключить compare overlay,"При narrow compare controls уходят в inspector, viewport сохраняет только ghost toggle и mismatch badge.","Режим сравнительного наложения baseline/run или run/run, строго через explicit compare contract и с предупреждением о drift.",SRC-018,WIN-DESKTOP-ANIMATOR
AM-SCR-08,"Аниматор — доказательства, экспорт и handoff диагностики",WS-ANIMATOR,evidence_and_diagnostics,AM-EVIDENCE,AM-HEADER;AM-BROWSER;AM-VIEWPORT;AM-INSPECTOR;AM-TRANSPORT,evidence_manifest,Передать в диагностику,Экспортировать кадр;Экспортировать manifest;Открыть analysis context,При narrow evidence manifest становится основной полноширинной карточкой; при micro export actions уходят в overflow меню.,"Режим работы с evidence manifest, экспортом capture и handoff в WS-DIAGNOSTICS без потери truthful warnings.",SRC-018,WIN-DESKTOP-ANIMATOR
DI-SCR-01,Диагностика — обзор и готовность,WS-DIAGNOSTICS,overview_and_readiness,DI-01,DI-HEADER;DI-BROWSER;DI-SUMMARY;DI-STATUS,field_help,Собрать диагностику,Открыть последний bundle;Перезапустить standard selfcheck;Показать evidence manifest,"При narrow summary-card становятся вертикальным стеком; при micro остаются header, health summary, одна primary action и status strip.","Стартовый экран: видно здоровье, свежесть последнего bundle, готовность helper-runtime и один доминирующий diagnostics-route. Отправка результатов не конкурирует со сборкой, а следует после готового bundle.",SRC-019;SRC-032,WIN-DIAGNOSTICS
DI-SCR-02,Диагностика — intake evidence manifest,WS-DIAGNOSTICS,evidence_intake_and_merge,DI-01-INTAKE,DI-HEADER;DI-BROWSER;DI-MANIFEST;DI-INSPECTOR;DI-STATUS,evidence_help,Слить evidence manifest,Импортировать handoff из анализа;Импортировать handoff из аниматора;Показать пропуски артефактов,"При narrow manifest-table уходит под filters; при micro сначала source badges, затем manifest-table и evidence warnings.","Режим intake: merges explicit evidence manifests из WS-ANALYSIS, WS-ANIMATOR и runtime без silent zip-all.",SRC-019,WIN-DIAGNOSTICS
DI-SCR-03,Диагностика — selfcheck и runtime окружение,WS-DIAGNOSTICS,selfcheck_and_runtime,DI-01-SELF,DI-HEADER;DI-SUMMARY;DI-HEALTH;DI-INSPECTOR;DI-STATUS,selfcheck_help,Запустить standard selfcheck,Запустить full selfcheck;Показать helper python;Открыть workspace contract,"При narrow standard/full карточки встают столбцом; при micro сначала runtime badges, затем selfcheck results и logs.","Режим проверки runtime: effective workspace, helper python, interpreter provenance, standard/full selfcheck и autotune smoke.",SRC-019,WIN-DIAGNOSTICS
DI-SCR-04,Диагностика — состав bundle и политика включения,WS-DIAGNOSTICS,bundle_contents_policy,DI-01-CONTENTS,DI-HEADER;DI-CONTENTS;DI-INSPECTOR;DI-STATUS,contents_help,Применить состав bundle,Включить обязательное;Сбросить optional;Оценить размер bundle,"При narrow группы artifact classes становятся аккордеоном; при micro сначала presets, затем чеклисты классов и estimate.","Режим управления составом bundle: source/derived/runtime artifacts, traces, reports и release metadata.",SRC-019,WIN-DIAGNOSTICS
DI-SCR-05,Диагностика — health report и triage,WS-DIAGNOSTICS,health_and_triage_review,DI-01-HEALTH,DI-HEADER;DI-HEALTH;DI-INSPECTOR;DI-STATUS,health_help,Открыть health report,Открыть triage report;Показать geometry acceptance;Показать evidence gaps,"При narrow health и triage tabs становятся вертикальными карточками; при micro сначала status badges, затем markdown/json viewers.","Режим review: health_report, triage_report, geometry acceptance, export validation и fallback warnings.",SRC-019,WIN-DIAGNOSTICS
DI-SCR-06,Диагностика — история и latest bundle,WS-DIAGNOSTICS,history_and_latest_bundle,DI-01-HISTORY,DI-HEADER;DI-BROWSER;DI-SUMMARY;DI-ACTIONS;DI-STATUS,history_help,Открыть последний bundle,Открыть папку;Скопировать путь;Скопировать SHA256;Открыть предыдущий bundle,"При narrow history-list уходит под latest-card; при micro сначала latest bundle badges, затем history list и actions.","Режим истории: latest_send_bundle pointer, sha256, freshness, recovery after auto-exit/crash и ручной reopen.",SRC-019,WIN-DIAGNOSTICS
DI-SCR-07,Диагностика — сборка и отправка bundle,WS-DIAGNOSTICS,build_and_send,DI-01-BUILD,DI-HEADER;DI-ACTIONS;DI-STATUS;DI-INSPECTOR,build_help,Собрать SEND bundle,Сохранить manifest;Отправить вручную;Открыть final zip;Показать build phases,"При narrow action cards и progress stack становятся колонкой; при micro остаются primary build, phase list и final path.","Режим финализации: phases build, final health/triage, zip assembly, latest pointer update и вложенная ручная отправка после готового bundle.",SRC-019;SRC-032,WIN-DIAGNOSTICS
DI-SCR-08,Диагностика — auto-exit и crash autosave recovery,WS-DIAGNOSTICS,autosave_and_recovery,DI-01-AUTOSAVE,DI-HEADER;DI-SUMMARY;DI-ACTIONS;DI-INSPECTOR;DI-STATUS,autosave_help,Проверить autosave bundle,Открыть crash bundle;Сравнить manual vs auto-exit;Показать helper runtime truth,"При narrow recovery-card идёт над logs; при micro сначала mode badges и recovery action, затем evidence list.","Режим расследования auto-exit/crash: bundle mode, autosave request, helper runtime truth и recovery pointers.",SRC-019,WIN-DIAGNOSTICS
PROJECT-SCR-01,Панель проекта — обзор,WS-PROJECT,overview,PRJ-01,PR-HEADER;PR-ACTION;PR-STATUS;PR-RECENT;PR-RUNS;PR-FOOTER,field_help,Выполнить следующее действие,Открыть проект;Создать проект;Открыть диагностику,"При narrow блоки recent/runs становятся вкладками; при micro сначала следующий шаг, затем блокеры, затем recent.","Стартовый экран проекта: проект, здоровье, следующее действие, последние объекты и видимый доминирующий маршрут по pipeline без конкуренции secondary окон.",SRC-021;SRC-032,WIN-MAIN-SHELL
PROJECT-SCR-02,Панель проекта — recent и открытие,WS-PROJECT,recent_open,PRJ-02,PR-HEADER;PR-RECENT;PR-STATUS;PR-FOOTER,recent_detail,Открыть выбранный проект,Создать проект;Импортировать проект;Клонировать проект,При compact список recent_projects становится одной таблицей со вторичной карточкой справа; при micro — пошаговый режим выбора проекта.,Режим входа в существующий проект или создания нового без показа инженерных полей.,SRC-021,WIN-MAIN-SHELL
PROJECT-SCR-03,Панель проекта — блокеры и next action,WS-PROJECT,health_and_routing,PRJ-03,PR-HEADER;PR-ACTION;PR-STATUS;PR-FOOTER,blocking_reason,Перейти к рекомендуемому рабочему пространству,Открыть журнал предупреждений;Открыть диагностику;Открыть карту pipeline,При narrow таблица блокеров идёт над карточкой следующего действия; при micro каждое blocking reason раскрывается аккордеоном.,"Фокус на блокирующих причинах, следующем действии и явной иерархии маршрута: Inputs → Ring → Suite → Baseline → Optimization → Analysis → Animator → Diagnostics.",SRC-021;SRC-032,WIN-MAIN-SHELL
INPUTS-SCR-01,Исходные данные — обзор групп,WS-INPUTS,group_overview,INP-01,IN-HEADER;IN-GROUPS;IN-FORM;IN-TWIN;IN-VALID;IN-ACTIONS,field_help,Сохранить исходные данные,Проверить исходные данные;Вернуться к панели проекта;Открыть редактор кольца,"При narrow дерево групп переносится над формой; twin и validation становятся вкладками под формой; при micro сначала список групп, потом форма, потом twin.","Стартовый экран WS-INPUTS: обзор групп, текущий dirty-state и быстрый доступ к validation и twin surfaces.",SRC-021,WIN-MAIN-SHELL
INPUTS-SCR-02,Исходные данные — геометрия и рама,WS-INPUTS,geometry,INP-02-GEO,IN-HEADER;IN-GROUPS;IN-FORM;IN-TWIN;IN-ACTIONS,geometry_help,Сохранить геометрию,Сбросить группу;Показать только обязательные поля;Открыть проверку групп,При wide twin занимает правую колонку; при narrow twin уходит под форму; при micro twin открывается по кнопке 'Показать эскиз'.,"Редактирование базы, колеи, габаритов рамы и статических геометрических привязок с синхронным эскизом.",SRC-021,WIN-MAIN-SHELL
