PAR_ID,FIELD_ID,FULL_NAME_RU,SHORT_NAME_RU,SYMBOL,UNIT,DATA_TYPE,STORAGE_FORMAT,INPUT_FORMAT,ALLOWED_VALUES,DEFAULT_VALUE,DEPENDENCIES,GROUP_ID,SOURCE_OF_TRUTH,CODE_LOCATION,GUI_SURFACES,ROLE_IN_LOGIC,VISIBILITY_ROLE,EDITABILITY,ACCESSIBILITY,WHY_AVAILABLE_OR_NOT,DERIVED_PRESENTATIONS,LEGENDS_AND_INDICATORS,TEST_AND_ACCEPTANCE_LINKS,STATUS,SOURCE_ID
PAR-0012,RG-FLD-SEGMENT-ENABLED,Сегмент включён,Сегмент включён,,not_applicable,checkbox,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Позволяет временно исключить сегмент из кольца без удаления.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0013,RG-FLD-SEGMENT-LENGTH,Длина сегмента,Длина сегмента,,м,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Длина участка по оси траектории.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0014,RG-FLD-TURN-DIRECTION,Направление поворота,Направление поворота,,not_applicable,enum,as_declared,enum,прямо|влево|вправо,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Структурный тип сегмента.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0015,RG-FLD-TURN-RADIUS,Радиус поворота,Радиус поворота,,м,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Радиус центральной линии поворота.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0016,RG-FLD-ARC-ANGLE,Угол дуги,Угол дуги,,градусы,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Угол поворота сегмента.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0017,RG-FLD-END-HEIGHT,Высота дороги в конце сегмента,Высота дороги в конце сегмента,,мм,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Конечная высота центральной линии текущего сегмента.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0018,RG-FLD-CROSSFALL,Поперечный уклон,Поперечный уклон,,градусы,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Наклон дороги поперёк машины.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0019,RG-FLD-SURFACE-TYPE,Тип покрытия,Тип покрытия,,not_applicable,enum,as_declared,enum,ISO8608|SINE|CSV|ручной профиль,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Генератор и класс покрытия.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0020,RG-FLD-SURFACE-CLASS,Класс шероховатости или профиль,Класс шероховатости или профиль,,not_applicable,text,as_declared,string,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Класс ISO8608, имя CSV или описание ручного профиля.",segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0021,RG-FLD-SINE-AMPLITUDE,Амплитуда синусоиды,Амплитуда синусоиды,,мм,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Амплитуда синусоидального профиля.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0022,RG-FLD-SINE-WAVELENGTH,Длина волны синусоиды,Длина волны синусоиды,,м,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Пространственная длина волны.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0023,RG-FLD-PHASE-RIGHT,Фаза правой колеи,Фаза правой колеи,,градусы,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Фазовый сдвиг правой колеи относительно левой.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0024,RG-FLD-RANDOM-PHASES,Случайные фазы,Случайные фазы,,not_applicable,checkbox,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Разрешить случайную фазу микропрофиля.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0025,RG-FLD-TARGET-SPEED,Целевая скорость прохождения,Целевая скорость прохождения,,км/ч,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Режим прохождения сегмента, а не тип геометрии.",segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0026,RG-FLD-PASSAGE-MODE,Режим прохождения сегмента,Режим прохождения сегмента,,not_applicable,enum,as_declared,enum,steady|accel|brake|custom,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Телеметрический режим прохождения. Не геометрия.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0027,RG-FLD-NOTE,Комментарий сегмента,Комментарий сегмента,,not_applicable,multiline_text,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Дополнительное пояснение по сегменту.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0028,RG-FLD-AUTO-CLOSE,Автозамыкание последнего сегмента,Автозамыкание последнего сегмента,,not_applicable,readonly_checkbox,as_declared,as_declared,включено|выключено,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Locked state последнего сегмента.,last_segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0029,RG-FLD-START-STATE-DERIVED,Начало текущего сегмента,Начало текущего сегмента,,not_applicable,derived_readonly,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Для сегмента 0 берётся из глобального начала кольца, для остальных — из конца предыдущего сегмента.",segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0030,RG-FLD-LEFT-RUT-HEIGHT,Высота левой колеи,Высота левой колеи,,мм,derived_readonly,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Derived от ширины дороги и поперечного уклона. Не основной пользовательский ввод.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0031,RG-FLD-RIGHT-RUT-HEIGHT,Высота правой колеи,Высота правой колеи,,мм,derived_readonly,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Derived от ширины дороги и поперечного уклона. Не основной пользовательский ввод.,segment,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0032,RG-FLD-SEAM-DELTA,Расхождение шва,Расхождение шва,,мм,derived_readonly,as_declared,as_declared,,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Показывает разницу между концом последнего и началом первого сегмента.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0033,RG-FLD-SEAM-STATUS,Статус шва,Статус шва,,not_applicable,derived_readonly,as_declared,as_declared,ok|warning|error,,,GRP-RING-GLOBAL,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Итог диагностики автозамыкания.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0034,RG-FLD-EXPORT-ROAD-CSV,Путь road_csv,Путь road_csv,,not_applicable,readonly_path,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Путь к экспортированному профилю дороги.,export,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0035,RG-FLD-EXPORT-SCENARIO-JSON,Путь scenario_json,Путь scenario_json,,not_applicable,readonly_path,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Путь к экспортированному JSON сценария.,export,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0036,RG-FLD-EXPORT-META-ROAD,Сводка meta road segments,Сводка meta road segments,,not_applicable,readonly_text,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Короткая сводка по segment_id и метаданным дорожных сегментов.,export,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0037,RG-FLD-SUITE-LINK-MODE,Режим связи с матрицей испытаний,Режим связи с матрицей испытаний,,not_applicable,enum,as_declared,enum,создать новое испытание|обновить выбранное испытание|только экспорт,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Определяет, как сценарий попадёт в WS-SUITE.",suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0038,RG-FLD-SUITE-TARGET-TEST-ID,Целевое испытание,Целевое испытание,,not_applicable,entity_link,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Связанное испытание для обновления.,suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0039,RG-FLD-SUITE-STAGE,Стадия испытания,Стадия испытания,,шт.,integer,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Первая стадия входа испытания в StageRunner.,suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0040,RG-FLD-SUITE-DT,Шаг интегрирования испытания,Шаг интегрирования испытания,,с,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Шаг интегрирования для создаваемого испытания.,suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0041,RG-FLD-SUITE-T-END,Время моделирования испытания,Время моделирования испытания,,с,number,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Время моделирования для создаваемого испытания.,suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0042,RG-FLD-SUITE-TYPE,Тип испытания,Тип испытания,,not_applicable,enum,as_declared,enum,ring,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,Тип испытания для ссылки на кольцевой сценарий.,suite_handoff,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0043,RG-FLD-VALIDATION-LEVEL,Уровень проверки перед экспортом,Уровень проверки перед экспортом,,not_applicable,enum,as_declared,enum,быстрый|полный,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Определяет глубину проверки шва, единиц и sidecar-файлов.",export,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0044,RG-FLD-DIAGNOSTIC-REPORT,Диагностический отчёт кольца,Диагностический отчёт кольца,,not_applicable,readonly_text,as_declared,as_declared,,,,GRP-RING-SEGMENT,ring_source_of_truth.json_and_generator_manifest.json,workspace/exports/ring_source_of_truth.json; ring generator/export path,WS-RING,"Сводка ошибок, предупреждений и рекомендаций по кольцу.",export,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-RING; downstream access определяется pipeline matrix.,,,,covered,SRC-013
PAR-0045,ST-FLD-SUITE-NAME,Название набора испытаний,Название набора испытаний,,not_applicable,text,as_declared,string,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Имя набора испытаний для пользователя и истории.,global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0046,ST-FLD-FILTER-TYPE,Фильтр по типу испытания,Фильтр по типу испытания,,not_applicable,enum,as_declared,enum,ring|inertia|bump|maneuver|template,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Ограничивает таблицу строками выбранного типа испытания.,transient,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0047,ST-FLD-FILTER-STAGE,Фильтр по стадии первого входа,Фильтр по стадии первого входа,,стадия,integer,as_declared,as_declared,0|1|2|3,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Показывает только строки с выбранной стадией первого входа.,transient,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0048,ST-FLD-FILTER-VALIDATION,Фильтр по состоянию проверки,Фильтр по состоянию проверки,,not_applicable,enum,as_declared,enum,ok|warning|error|stale,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Ограничивает таблицу по результату последней проверки.,transient,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0049,ST-FLD-FILTER-TEXT,Поиск по имени испытания и сценарию,Поиск по имени испытания и сценарию,,not_applicable,text,as_declared,string,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,"Ищет по имени испытания, сценарию-источнику и ссылочным артефактам.",transient,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0050,ST-FLD-BULK-STAGE,Пакетно установить стадию первого входа,Пакетно установить стадию первого входа,,стадия,integer,as_declared,as_declared,0|1|2|3,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Изменяет stage entry только у выбранных строк.,bulk_action,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0051,ST-FLD-BULK-PRIORITY,Пакетно установить приоритет,Пакетно установить приоритет,,уровень,integer,as_declared,as_declared,0..999,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Изменяет priority только у выбранных строк.,bulk_action,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0052,ST-FLD-DEFAULT-DT,"Шаг интегрирования по умолчанию, секунды","Шаг интегрирования по умолчанию, секунды",,с,number,as_declared,as_declared,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,"Подставляется в новые строки, если у строки нет своего значения.",global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0053,ST-FLD-DEFAULT-TEND,"Длительность испытания по умолчанию, секунды","Длительность испытания по умолчанию, секунды",,с,number,as_declared,as_declared,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,"Подставляется в новые строки, если у строки нет своего значения.",global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0054,ST-FLD-VALIDATION-PROFILE,Профиль проверки набора испытаний,Профиль проверки набора испытаний,,not_applicable,enum,as_declared,enum,standard|strict|release,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,"Определяет глубину проверки: стандартная, строгая или релизная.",global,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0055,ST-FLD-TEST-ID,Код испытания,Код испытания,,not_applicable,text,as_declared,string,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Стабильный идентификатор строки набора испытаний.,row,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0056,ST-FLD-TEST-NAME,Имя испытания,Имя испытания,,not_applicable,text,as_declared,string,,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Пользовательское имя строки набора испытаний.,row,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0057,ST-FLD-TEST-ENABLED,Включить испытание,Включить испытание,,not_applicable,boolean,as_declared,as_declared,true|false,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,"Определяет, участвует ли строка в baseline и optimisation.",row,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
PAR-0058,ST-FLD-TEST-TYPE,Тип испытания,Тип испытания,,not_applicable,enum,as_declared,enum,ring|inertia|bump|maneuver|template,,,GRP-SUITE,validated_suite_snapshot.json,validated_suite_snapshot.json,WS-SUITE,Инженерный тип испытания.,row,editable_in_owner_workspace,tooltip_and_help_required,Параметр редактируется или показывается в WS-SUITE; downstream access определяется pipeline matrix.,,,,covered,SRC-014
