workspace,state_id,state_name,user_question,severity,visibility_policy,primary_region,trigger,why_must_be_visible,risk_if_hidden,recommended_ui_pattern
WS-OPTIMIZATION,STATE-OP-002,Objective stack,Какие цели сейчас оптимизируются?,critical,always,center_contract,всегда,Objective stack — first-class runtime contract,Пользователь интерпретирует результаты по старым ожиданиям,Всегда видимая карточка целей
WS-OPTIMIZATION,STATE-OP-003,Hard gate,Какое жёсткое ограничение сейчас активно?,critical,always,center_contract,всегда,Hard gate влияет на problem identity и resume semantics,Исторические запуски смешиваются в голове,Карточка hard gate рядом с objective stack
WS-OPTIMIZATION,STATE-OP-004,Текущая стадия и прогресс,Что реально происходит сейчас?,critical,always,center_progress,если run active,Длительная операция обязана быть видна на текущем экране,Пользователь лезет в логи вместо UI,"Стадия, прогресс, строки, elapsed"
WS-OPTIMIZATION,STATE-OP-005,Underfill/gate reason,Почему стадия недобрала budget?,critical,conditional,center_progress,при underfill/gate block,Нужна объяснимость недобора/блокировок,Пользователь видит 0/0 и не понимает корень,Inline reason preview
WS-OPTIMIZATION,STATE-OP-006,Текущий vs historical контракт,Этот run сейчас текущий или исторический и совпадает ли контракт?,high,conditional,top_strip,при выборе истории,История запусков без контракта вводит в заблуждение,Resume/A-B сравнение становятся нечестными,Current/historical banner
WS-ANALYSIS,STATE-AN-001,Выбранный run,Какой run анализируется?,critical,always,top_strip,всегда,Анализ должен быть привязан к конкретному run,Пользователь смотрит не тот run,Карточка run identity
WS-ANALYSIS,STATE-AN-002,Режим сравнения,Сравниваем baseline vs run или run vs run?,high,always,center_compare_header,если compare active,Compare без явного режима путает interpretation,"Пользователь не понимает, что именно видит на графике",Header compare mode
WS-ANALYSIS,STATE-AN-003,Mismatch dimensions,Есть ли mismatch по objective contract / suite / baseline?,critical,conditional,message_bar,при mismatch,Нельзя silently сравнивать несопоставимые прогоны,Ложные инженерные выводы,Mismatch banner with explicit dimensions
WS-ANALYSIS,STATE-AN-004,Единицы и basis,В каких единицах и по какой базе строится график?,high,always,plot_headers,всегда,Подписи осей и basis — часть доверия к анализу,"Графики выглядят красиво, но непонятны",Полные названия + единицы + basis
WS-ANIMATOR,STATE-AM-001,Truth-state анимации,"Это solver truth, source-data preview, approximate или unavailable?",critical,always,viewport_header,всегда,Честность анимации обязательна,Пользователь принимает условную механику за расчётную,Крупный truth marker
WS-ANIMATOR,STATE-AM-002,Режим цилиндров,Цилиндры в full truth или axis-only? Почему?,critical,always,viewport_overlay,если цилиндры видны,Cylinder packaging contract может быть неполным,Пользователь верит в ложную механику,Overlay: axis-only honesty mode
WS-ANIMATOR,STATE-AM-003,Playback context,Какой run/time/speed сейчас проигрывается?,high,always,bottom_strip,всегда,Playback без контекста — бессмысленная картинка,"Пользователь не знает, какой момент смотрит",Playback HUD
WS-ANIMATOR,STATE-AM-004,Current/historical mismatch,Контекст аниматора совпадает с текущим проектом?,high,conditional,message_bar,при mismatch,Нельзя silently rebind historical animator to current project,Ложные выводы о текущей конфигурации,Historical banner
WS-ANIMATOR,STATE-AM-005,Follow/pointer freshness,Используется follow и насколько свеж указатель?,medium,conditional,top_strip,при follow mode,"Follow скрывает источник контекста, если не маркировать","Пользователь не понимает, откуда появился новый run",Follow badge + freshness
WS-DIAGNOSTICS,STATE-DG-001,Главная команда,Где собрать диагностику?,critical,always,center_primary_action,всегда,Диагностика должна иметь один доминирующий маршрут,Пользователь теряется между диагностикой и отправкой,Одна primary button
WS-DIAGNOSTICS,STATE-DG-002,Health summary,Что сейчас не так с системой?,critical,always,center_summary,всегда,Health report должен быть first-class surface,"Пользователь не знает, можно ли доверять текущей сессии",Health summary card
WS-DIAGNOSTICS,STATE-DG-003,Свежесть bundle,Последний архив свежий или устарел?,critical,always,top_strip,если bundle существует,Bundle stale должен быть видим сразу,Пользователь отправляет старый архив,Freshness + path + time
WS-DIAGNOSTICS,STATE-DG-004,Состав bundle,Что войдёт в архив?,high,always,center_contents,всегда,Пользователь должен понимать состав диагностики до сборки,Нет доверия к completeness диагностики,Visible bundle contents list
WS-DIAGNOSTICS,STATE-DG-005,Отправка архива,Можно ли уже отправлять?,high,conditional,secondary_action,после готовности bundle,Отправка должна быть вторым шагом после сборки,Два конкурирующих first routes,Secondary action only when ready
