src,dst,workspace,layer,edge_type,action,feedback,cost,ambiguity,notes
WS-PROJECT_root,WS-PROJECT_ctl_2,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_3,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_4,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_5,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_6,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_7,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_8,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_9,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_10,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_ctl_11,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_1,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_2,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_3,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_4,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_5,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_6,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_7,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_field_8,WS-PROJECT,optimized,availability,,,0.1,0.0,
WS-PROJECT_root,WS-PROJECT_msg_1,WS-PROJECT,optimized,message_surface,,проект сохранен,0.2,0.0,
WS-PROJECT_root,WS-PROJECT_msg_2,WS-PROJECT,optimized,message_surface,,проект открыт с предупреждением,0.2,0.0,
WS-PROJECT_root,WS-PROJECT_msg_3,WS-PROJECT,optimized,message_surface,,проект не может быть открыт,0.2,0.0,
cur_project_home,cur_project_summary,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_summary,cur_project_open,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_open,cur_project_recent,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_recent,cur_project_next_action,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_next_action,cur_project_opt_entry,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_opt_entry,cur_project_diag_entry,WS-PROJECT,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_project_opt_entry,cur_project_opt_entry_unknown_internal,WS-PROJECT,current,launchpoint_only,открыть_окно,дальнейшая_структура_не_доказана,1.5,0.8,launchpoint_only
cur_project_diag_entry,cur_project_diag_entry_unknown_internal,WS-PROJECT,current,launchpoint_only,открыть_окно,дальнейшая_структура_не_доказана,1.5,0.8,launchpoint_only
tree_root,WS-SUITE_tree_entry,WS-SUITE,optimized,tree_select,выбрать_узел_в_дереве,узел_дерева_подсвечен,0.4,0.0,
WS-SUITE_tree_entry,WS-SUITE_root,WS-SUITE,optimized,direct_open,открыть_рабочее_пространство,рабочее_пространство_открыто,0.55,0.0,прямое открытие из дерева
WS-SUITE_root,WS-SUITE_container_дерево_испытаний,WS-SUITE,optimized,containment,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_container_таблица_suite,WS-SUITE,optimized,containment,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_container_карточка_строки,WS-SUITE,optimized,containment,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_container_правая_панель_help,WS-SUITE,optimized,containment,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_container_нижняя_строка_валидации,WS-SUITE,optimized,containment,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_task_1,WS-SUITE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-SUITE_task_1,WS-SUITE_task_2,WS-SUITE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-SUITE_task_2,WS-SUITE_task_3,WS-SUITE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-SUITE_task_3,WS-SUITE_task_4,WS-SUITE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-SUITE_task_4,WS-SUITE_task_5,WS-SUITE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-SUITE_task_1,WS-SUITE_check_1,WS-SUITE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-SUITE_task_2,WS-SUITE_check_2,WS-SUITE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-SUITE_task_3,WS-SUITE_check_3,WS-SUITE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-SUITE_task_4,WS-SUITE_check_4,WS-SUITE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-SUITE_task_5,WS-SUITE_check_5,WS-SUITE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-SUITE_check_1,WS-SUITE_block_1,WS-SUITE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-SUITE_block_1,WS-SUITE_task_1,WS-SUITE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-SUITE_check_2,WS-SUITE_block_2,WS-SUITE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-SUITE_block_2,WS-SUITE_task_2,WS-SUITE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-SUITE_check_3,WS-SUITE_block_3,WS-SUITE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-SUITE_block_3,WS-SUITE_task_3,WS-SUITE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-SUITE_check_4,WS-SUITE_block_4,WS-SUITE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-SUITE_block_4,WS-SUITE_task_4,WS-SUITE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-SUITE_task_1,WS-SUITE_feedback_1,WS-SUITE,optimized,feedback,,таблица валидна,0.3,0.0,
WS-SUITE_task_2,WS-SUITE_feedback_2,WS-SUITE,optimized,feedback,,ошибки валидации показаны,0.3,0.0,
WS-SUITE_task_3,WS-SUITE_feedback_3,WS-SUITE,optimized,feedback,,валидированный suite snapshot сохранен,0.3,0.0,
WS-SUITE_task_4,WS-SUITE_feedback_4,WS-SUITE,optimized,feedback,,stale link показан,0.3,0.0,
WS-SUITE_task_5,WS-SUITE_feedback_5,WS-SUITE,optimized,feedback,,context stale показан,0.3,0.0,
WS-SUITE_task_5,WS-SUITE_feedback_6,WS-SUITE,optimized,feedback,,строки по стадиям видимы,0.3,0.0,
WS-SUITE_root,WS-SUITE_ctl_1,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_2,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_3,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_4,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_5,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_6,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_7,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_8,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_9,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_10,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_11,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_12,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_13,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_14,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_15,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_16,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_17,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_ctl_18,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_1,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_2,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_3,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_4,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_5,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_6,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_7,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_8,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_9,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_field_10,WS-SUITE,optimized,availability,,,0.1,0.0,
WS-SUITE_root,WS-SUITE_msg_1,WS-SUITE,optimized,message_surface,,набор испытаний валиден,0.2,0.0,
WS-SUITE_root,WS-SUITE_msg_2,WS-SUITE,optimized,message_surface,,набор испытаний содержит ошибки,0.2,0.0,
WS-SUITE_root,WS-SUITE_msg_3,WS-SUITE,optimized,message_surface,,валидированный snapshot сохранен,0.2,0.0,
cur_suite_home,cur_suite_table,WS-SUITE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_suite_table,cur_suite_stage,WS-SUITE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_suite_stage,cur_suite_validate,WS-SUITE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_suite_validate,cur_suite_export,WS-SUITE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_suite_export,cur_suite_ring_link,WS-SUITE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_suite_ring_link,cur_suite_ring_link_unknown_internal,WS-SUITE,current,launchpoint_only,открыть_окно,дальнейшая_структура_не_доказана,1.5,0.8,launchpoint_only
tree_root,WS-BASELINE_tree_entry,WS-BASELINE,optimized,tree_select,выбрать_узел_в_дереве,узел_дерева_подсвечен,0.4,0.0,
WS-BASELINE_tree_entry,WS-BASELINE_root,WS-BASELINE,optimized,direct_open,открыть_рабочее_пространство,рабочее_пространство_открыто,0.55,0.0,прямое открытие из дерева
WS-BASELINE_root,WS-BASELINE_container_карточка_источника,WS-BASELINE,optimized,containment,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_container_панель_политики,WS-BASELINE,optimized,containment,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_container_графики_baseline,WS-BASELINE,optimized,containment,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_container_история_baseline,WS-BASELINE,optimized,containment,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_container_нижний_progress,WS-BASELINE,optimized,containment,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_task_1,WS-BASELINE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-BASELINE_task_1,WS-BASELINE_task_2,WS-BASELINE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-BASELINE_task_2,WS-BASELINE_task_3,WS-BASELINE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-BASELINE_task_3,WS-BASELINE_task_4,WS-BASELINE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-BASELINE_task_4,WS-BASELINE_task_5,WS-BASELINE,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-BASELINE_task_1,WS-BASELINE_check_1,WS-BASELINE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-BASELINE_task_2,WS-BASELINE_check_2,WS-BASELINE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-BASELINE_task_3,WS-BASELINE_check_3,WS-BASELINE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-BASELINE_task_4,WS-BASELINE_check_4,WS-BASELINE,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-BASELINE_check_1,WS-BASELINE_block_1,WS-BASELINE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-BASELINE_block_1,WS-BASELINE_task_1,WS-BASELINE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-BASELINE_check_2,WS-BASELINE_block_2,WS-BASELINE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-BASELINE_block_2,WS-BASELINE_task_2,WS-BASELINE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-BASELINE_check_3,WS-BASELINE_block_3,WS-BASELINE,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-BASELINE_block_3,WS-BASELINE_task_3,WS-BASELINE,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-BASELINE_task_1,WS-BASELINE_feedback_1,WS-BASELINE,optimized,feedback,,baseline выполнен,0.3,0.0,
WS-BASELINE_task_2,WS-BASELINE_feedback_2,WS-BASELINE,optimized,feedback,,лучший baseline обновлен,0.3,0.0,
WS-BASELINE_task_3,WS-BASELINE_feedback_3,WS-BASELINE,optimized,feedback,,auto update статус видим,0.3,0.0,
WS-BASELINE_task_4,WS-BASELINE_feedback_4,WS-BASELINE,optimized,feedback,,active baseline contract сохранен,0.3,0.0,
WS-BASELINE_task_5,WS-BASELINE_feedback_5,WS-BASELINE,optimized,feedback,,источник baseline и hash видимы,0.3,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_1,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_2,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_3,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_4,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_5,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_6,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_7,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_ctl_8,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_1,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_2,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_3,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_4,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_5,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_6,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_field_7,WS-BASELINE,optimized,availability,,,0.1,0.0,
WS-BASELINE_root,WS-BASELINE_msg_1,WS-BASELINE,optimized,message_surface,,baseline готов,0.2,0.0,
WS-BASELINE_root,WS-BASELINE_msg_2,WS-BASELINE,optimized,message_surface,,baseline устарел,0.2,0.0,
WS-BASELINE_root,WS-BASELINE_msg_3,WS-BASELINE,optimized,message_surface,,источник baseline не совместим,0.2,0.0,
cur_baseline_home,cur_baseline_source,WS-BASELINE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_baseline_source,cur_baseline_run,WS-BASELINE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_baseline_run,cur_baseline_history,WS-BASELINE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_baseline_history,cur_baseline_summary,WS-BASELINE,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
tree_root,WS-ANALYSIS_tree_entry,WS-ANALYSIS,optimized,tree_select,выбрать_узел_в_дереве,узел_дерева_подсвечен,0.4,0.0,
WS-ANALYSIS_tree_entry,WS-ANALYSIS_root,WS-ANALYSIS,optimized,direct_open,открыть_рабочее_пространство,рабочее_пространство_открыто,0.55,0.0,прямое открытие из дерева
WS-ANALYSIS_root,WS-ANALYSIS_container_run_picker,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_container_compare_bar,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_container_графики,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_container_таблица_метрик,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_container_правый_inspector,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_container_нижняя_полоса_контекста,WS-ANALYSIS,optimized,containment,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_task_1,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_1,WS-ANALYSIS_task_2,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_2,WS-ANALYSIS_task_3,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_3,WS-ANALYSIS_task_4,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_4,WS-ANALYSIS_task_5,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_5,WS-ANALYSIS_task_6,WS-ANALYSIS,optimized,task_progress,перейти_к_задаче,задача_активна,0.7,0.0,
WS-ANALYSIS_task_1,WS-ANALYSIS_check_1,WS-ANALYSIS,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-ANALYSIS_task_2,WS-ANALYSIS_check_2,WS-ANALYSIS,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-ANALYSIS_task_3,WS-ANALYSIS_check_3,WS-ANALYSIS,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-ANALYSIS_task_4,WS-ANALYSIS_check_4,WS-ANALYSIS,optimized,validation,запустить_проверку,результат_проверки_получен,0.65,0.0,
WS-ANALYSIS_check_1,WS-ANALYSIS_block_1,WS-ANALYSIS,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-ANALYSIS_block_1,WS-ANALYSIS_task_1,WS-ANALYSIS,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-ANALYSIS_check_2,WS-ANALYSIS_block_2,WS-ANALYSIS,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-ANALYSIS_block_2,WS-ANALYSIS_task_2,WS-ANALYSIS,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-ANALYSIS_check_3,WS-ANALYSIS_block_3,WS-ANALYSIS,optimized,block_condition,,блокировка_показана,1.2,0.0,
WS-ANALYSIS_block_3,WS-ANALYSIS_task_3,WS-ANALYSIS,optimized,repair_loop,исправить_проблему,возврат_к_исправлению,0.8,0.0,
WS-ANALYSIS_task_1,WS-ANALYSIS_feedback_1,WS-ANALYSIS,optimized,feedback,,текущий или исторический контекст виден,0.3,0.0,
WS-ANALYSIS_task_2,WS-ANALYSIS_feedback_2,WS-ANALYSIS,optimized,feedback,,mismatch banner виден,0.3,0.0,
WS-ANALYSIS_task_3,WS-ANALYSIS_feedback_3,WS-ANALYSIS,optimized,feedback,,compare mode подписан,0.3,0.0,
WS-ANALYSIS_task_4,WS-ANALYSIS_feedback_4,WS-ANALYSIS,optimized,feedback,,run contract hash виден,0.3,0.0,
WS-ANALYSIS_task_5,WS-ANALYSIS_feedback_5,WS-ANALYSIS,optimized,feedback,,report manifest готов,0.3,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_1,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_2,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_3,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_4,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_5,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_6,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_7,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_ctl_8,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_1,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_2,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_3,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_4,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_5,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_6,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_field_7,WS-ANALYSIS,optimized,availability,,,0.1,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_msg_1,WS-ANALYSIS,optimized,message_surface,,выбран исторический контекст,0.2,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_msg_2,WS-ANALYSIS,optimized,message_surface,,контракт сравнения несовместим,0.2,0.0,
WS-ANALYSIS_root,WS-ANALYSIS_msg_3,WS-ANALYSIS,optimized,message_surface,,отчет экспортирован,0.2,0.0,
cur_analysis_home,cur_analysis_run_picker,WS-ANALYSIS,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_analysis_run_picker,cur_analysis_compare,WS-ANALYSIS,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
cur_analysis_compare,cur_analysis_plots,WS-ANALYSIS,current,current_flow,клик_или_переход,видимая_реакция_частично_подтверждена,1.2,0.4,evidence-bound
