UI_ID,UI_NAME_RU,UI_TYPE,WORKSPACE_ID,WINDOW_ID,SCREEN_IDS,REGION_ID,PARENT_CONTAINER_ID,X_LOCAL_PX,Y_LOCAL_PX,MIN_WIDTH_PX,MIN_HEIGHT_PX,PREFERRED_WIDTH_PX,PREFERRED_HEIGHT_PX,SOURCE_BINDING,RELATED_PAR_ID,VISIBLE_WHEN,ENABLED_WHEN,TOOLTIP_REQUIRED,HELP_REQUIRED,SCROLL_BEHAVIOR,POSITIONING_RULE,RESIZE_RULE,STATE_MODEL,SOURCE_ID
RG-BTN-DUP-SEGMENT,Дублировать сегмент,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,160,736,108,27,144,36,scenario.segments.duplicate,,Есть выделение,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-DELETE-SEGMENT,Удалить сегмент,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,780,108,27,144,36,scenario.segments.delete,,Есть выделение,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-INSERT-BEFORE,Вставить перед,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,160,780,108,27,144,36,scenario.segments.insert_before,,Есть выделение,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-INSERT-AFTER,Вставить после,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,824,108,27,144,36,scenario.segments.insert_after,,Есть выделение,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-MOVE-UP,Поднять сегмент,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,160,824,108,27,144,36,scenario.segments.move_up,,Есть выделение и сегмент не первый,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-MOVE-DOWN,Опустить сегмент,small_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,868,108,27,144,36,scenario.segments.move_down,,Есть выделение и сегмент не последний,Есть выделение,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-SEAM-BADGE,Индикатор шва,state_badge,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,160,868,108,27,144,36,scenario.validation.seam_status,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RING-MESSAGE-BAR,Локальная строка сообщений,message_bar,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-LEFT,RG-LEFT,0,916,228,33,304,44,scenario.messages,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-PLAN-VIEW,План кольца,canvas,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-PLAN,RG-PLAN,0,0,663,375,884,500,scenario.preview.plan,,Всегда,Всегда,Да,Да,Внутренний pan/zoom,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-PLAN-LEGEND,Легенда плана кольца,legend_panel,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-PLAN,RG-PLAN,688,8,141,54,188,72,scenario.preview.plan.legend,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-LONG-PROFILE-VIEW,Продольный профиль,chart,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03,RG-LONG,RG-LONG,0,0,430,138,574,184,scenario.preview.long_profile,,Всегда,Всегда,Да,Да,Внутренний pan/zoom,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-LONG-STATUS,Статус продольного профиля,state_badge,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03,RG-LONG,RG-LONG,426,192,111,21,148,28,scenario.preview.long_profile.status,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-CROSSFALL-VIEW,Поперечный уклон,chart_panel,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03,RG-CROSSFALL,RG-CROSSFALL,0,0,220,111,294,148,scenario.preview.crossfall,,Всегда,Всегда,Да,Да,Внутренний pan/zoom,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-SEAM-DIAGNOSTICS,Диагностика замыкания,message_list,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03,RG-CROSSFALL,RG-CROSSFALL,0,156,220,54,294,72,scenario.validation.seam_messages,,Всегда,Всегда,Да,Да,Внутренний вертикальный скролл,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-CHECK-SEAM,Проверить шов кольца,secondary_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,0,0,126,27,168,36,scenario.validation.run,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-EXPORT-SCENARIO,Экспортировать сценарий,secondary_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,180,0,126,27,168,36,scenario.export,,Preview generated,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-BTN-ADD-TO-SUITE,Добавить в испытания,primary_button,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,360,0,132,27,176,36,scenario.to_suite,,Export ready,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-SUITE-LINK-SUMMARY,Сводка передачи в испытания,summary_card,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,0,48,249,54,332,72,suite_handoff.summary,,Export ready,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-EXPORT-ARTIFACTS,Сводка экспортированных файлов,summary_card,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,344,48,195,54,260,72,scenario.export.summary,,Export ready,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-VALIDATION-SUMMARY,Сводка проверок,summary_card,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,616,48,201,54,268,72,scenario.validation.summary,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-HELP-ANCHOR,Локальный знак вопроса,help_anchor,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,896,48,18,18,24,24,help.open_context,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RING-VALIDATION-STRIP,Полоса валидации,validation_strip,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,932,48,222,18,296,24,scenario.validation.strip,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RING-UNITS-LEGEND,Легенда единиц измерения,units_legend,WS-RING,WIN-MAIN-SHELL,RING-SCR-01;RING-SCR-02;RING-SCR-03;RING-SCR-04,RG-FOOTER,RG-FOOTER,896,80,249,30,332,40,scenario.units.legend,,Всегда,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-INS-SEGMENT-CARD,Карточка выбранного сегмента,inspector_card,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,0,0,224,630,298,840,scenario.segment.selected,,Есть выделение,Есть выделение,Да,Да,Вертикальный внутренний скролл,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-INS-SEAM-CARD,Карточка шва и экспорта,inspector_card,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,0,0,224,630,298,840,scenario.validation.export,,Mode seam_export,Всегда,Да,Да,Вертикальный внутренний скролл,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
RG-INS-HELP-CARD,Контекстная помощь по элементу,inspector_card,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,0,0,224,630,298,840,help.context,,Всегда,Всегда,Да,Да,Вертикальный внутренний скролл,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Ширина адаптируется к контейнеру; высота фиксирована или скроллируема по правилу контейнера.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SCENARIO-NAME,Название сценария,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,16,200,24,266,32,RG-FLD-SCENARIO-NAME,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-CLOSURE-POLICY,Политика замыкания кольца,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,56,200,24,266,32,RG-FLD-CLOSURE-POLICY,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-V0,Начальная скорость прохождения,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,96,200,24,266,32,RG-FLD-V0,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-DX,Шаг дискретизации дороги,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,136,200,24,266,32,RG-FLD-DX,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-LAPS,Количество кругов,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,176,200,24,266,32,RG-FLD-LAPS,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SEED,Код генератора случайности,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,216,200,24,266,32,RG-FLD-SEED,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-ROAD-WIDTH,Ширина дороги,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,256,200,24,266,32,RG-FLD-ROAD-WIDTH,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-START-HEIGHT,Высота дороги в начале кольца,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,296,200,24,266,32,RG-FLD-START-HEIGHT,,Выбран сегмент 0,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SHOV-THRESHOLD,Порог допуска шва кольца,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,336,200,24,266,32,RG-FLD-SHOV-THRESHOLD,,Mode segment_detail или seam_export,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SEGMENT-ID,Номер сегмента,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,376,200,24,266,32,RG-FLD-SEGMENT-ID,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SEGMENT-LABEL,Имя сегмента,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,416,200,24,266,32,RG-FLD-SEGMENT-LABEL,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SEGMENT-ENABLED,Сегмент включён,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,456,200,24,266,32,RG-FLD-SEGMENT-ENABLED,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-SEGMENT-LENGTH,Длина сегмента,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,496,200,24,266,32,RG-FLD-SEGMENT-LENGTH,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-TURN-DIRECTION,Направление поворота,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,536,200,24,266,32,RG-FLD-TURN-DIRECTION,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-TURN-RADIUS,Радиус поворота,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,576,200,24,266,32,RG-FLD-TURN-RADIUS,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
UI-RG-FLD-ARC-ANGLE,Угол дуги,field_row,WS-RING,WIN-MAIN-SHELL,,GLOBAL-RIGHT-INSPECTOR,GLOBAL-RIGHT-INSPECTOR,16,616,200,24,266,32,RG-FLD-ARC-ANGLE,,Есть выделение,Всегда,Да,Да,Нет,Координаты локальны контейнеру region; глобальная раскладка управляется dock/grid/splitter-контейнерами.,Фиксированная высота с адаптацией ширины до min/pref rules.,enabled;disabled;read_only;hidden;warning;error;selected;hover;focus,SRC-013
