ACC_ID,REQ_ID,TITLE,PASS_CRITERIA,FAIL_CRITERIA,EVIDENCE_EXPECTED,STATUS,TEST_ID
ACC-011,REQ-011,"High DPI, mixed-DPI и Windows snap semantics обязательны",Для REQ-011 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-011 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-011
ACC-012,REQ-012,"Глобальный поиск команд, экранов, сущностей и артефактов обязателен",Для REQ-012 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-012 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-012
ACC-013,REQ-013,Команда «Собрать диагностику» всегда заметна и доступна из любого рабочего пространства,Для REQ-013 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-013 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-013
ACC-014,REQ-014,"WS-PROJECT показывает состояние проекта, блокеры и следующее действие, но не дублирует редактирование инженерных чисел",Для REQ-014 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-014 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-014
ACC-015,REQ-015,WS-INPUTS является единственной editable-поверхностью для model input master copy до handoff дальше по pipeline,Для REQ-015 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-015 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-015
ACC-016,REQ-016,У каждой core-группы входных данных есть обязательный графический двойник и двусторонняя синхронизация число↔графика,Для REQ-016 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-016 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-016
ACC-017,REQ-017,Редактор циклического сценария является единственным источником истины для дороги и маршрута движения,Редактор циклического сценария является единственным editable source-of-truth сценарной геометрии; downstream workspaces читают только refs/hash/lineage.,Для REQ-017 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,ring editor contract; scenario source uplift; scenario consumer enforcement matrices.,covered,TST-017
ACC-018,REQ-018,Циклический сценарий нигде не должен рисоваться как геометрическое кольцо; используются только unfolded cyclic views,Для REQ-018 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-018 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-018
ACC-019,REQ-019,"Сегмент 0 задаёт начальное и конечное состояние, сегменты 1..N-1 задают только конец, последний сегмент логически замыкается на первый",Для REQ-019 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-019 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-019
ACC-020,REQ-020,Поворот задаётся явно; продольная геометрия через конечные высоты; поперечный уклон одним параметром; разгон/торможение не тип сегмента,Для REQ-020 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-020 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-020
ACC-021,REQ-021,"WS-SUITE потребляет scenario refs и validated snapshot, но не владеет геометрией сценария",Для REQ-021 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-021 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-021
ACC-022,REQ-022,Validated suite snapshot обязателен как handoff в WS-BASELINE и несёт upstream lineage,Для REQ-022 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-022 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-022
ACC-023,REQ-023,WS-BASELINE читает только validated snapshot и ведёт active baseline contract с явной политикой auto-update,Для REQ-023 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-023 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-023
ACC-024,REQ-024,"WS-OPTIMIZATION читает active_baseline_contract и objective_contract, а run identity включает lineage и hard gate",Для REQ-024 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-024 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-024
ACC-025,REQ-025,Для оптимизации существует только один активный режим запуска в конкретный момент времени,Для REQ-025 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-025 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-025
ACC-026,REQ-026,StageRunner и distributed coordinator поддерживаются как разные execution engines с общим objective-contract и явной history semantics,Для REQ-026 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-026 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered_partially,TST-026
ACC-027,REQ-027,"Stage-specific influence summary, seed budgeting и promotion policy должны быть видимы и объяснимы на текущем экране",Для REQ-027 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-027 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-027
ACC-028,REQ-028,"WS-ANALYSIS работает только от selected run contract и explicit compare contract, а не от live runtime-state",Для REQ-028 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-028 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-028
ACC-029,REQ-029,"WS-ANIMATOR открывается только по explicit analysis context и explicit artifact pointers, не rebindится молча к текущему проекту",Для REQ-029 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-029 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-029
ACC-030,REQ-030,Для цилиндров full-truth body/rod/piston разрешён только при complete packaging passport; иначе только axis-only honesty mode,В аниматоре full-truth для цилиндров доступен только при полном packaging passport; иначе гарантирован axis-only honesty mode с warning.,Для REQ-030 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,truthful graphics contract; animator truth mode matrix; diagnostics evidence manifest.,covered_partially,TST-030
ACC-031,REQ-031,"Animator и схемы обязаны показывать источник представления, truth warnings и export/capture provenance",Для REQ-031 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-031 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-031
ACC-032,REQ-032,"WS-DIAGNOSTICS потребляет explicit evidence manifest, health report, selfcheck и SEND bundle contract",Для REQ-032 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-032 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-032
ACC-033,REQ-033,"Latest bundle, SHA256, interpreter provenance и freshness обязаны быть видимы пользователю",Для REQ-033 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-033 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-033
ACC-034,REQ-034,"У каждого значимого поля, кнопки, графика, предупреждения и столбца есть tooltip и знак вопроса с развёрнутым help",Для REQ-034 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-034 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-034
ACC-035,REQ-035,Обозначения без названия и значения без единиц измерения запрещены,Для REQ-035 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-035 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-035
ACC-036,REQ-036,"Значимые графические surfaces интерактивны и синхронизированы с деревом, inspector, таблицами и графиками",Для REQ-036 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-036 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-036
ACC-037,REQ-037,"Пневмосхема/мнемосхема обязана показывать направление, давление, расход и статусы дискретных элементов",Для REQ-037 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-037 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered_partially,TST-037
ACC-038,REQ-038,Диапазоны как first-class сущности редактируются dual-range control или эквивалентом с точными полями,Для REQ-038 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-038 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-038
ACC-039,REQ-039,"Длительные операции показывают progress на текущем экране, а shell strip дублирует его только как вторичный сигнал",Для REQ-039 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-039 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-039
ACC-040,REQ-040,Current-vs-historical и mismatch состояния вынесены в явные banners и compare policies,Для REQ-040 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-040 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-040
ACC-041,REQ-041,Производительность обязана быть доказуемой trace-артефактами; скрытые панели и фоновые web-surface не крадут budget playback,"Для perf-critical surfaces заданы trace-артефакты, acceptance gates и запрет скрытого CPU/GPU churn.",Для REQ-041 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,TODO/Wishlist reconciliation; diagnostics bundle contents; shell stale banner matrix; technical specification performance section.,covered_partially,TST-041
ACC-042,REQ-042,"Producer-side hardpoints, solver_points и cylinder packaging contract остаются P0 до доказанного runtime evidence",Для REQ-042 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-042 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered_partially,TST-042
ACC-043,REQ-043,"Специализированные окна Desktop Animator, Compare Viewer и Desktop Mnemo остаются отдельными top-level surfaces",Для REQ-043 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-043 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-043
ACC-044,REQ-044,Скрытые expert/legacy-маршруты запрещены; незавершённые элементы маркируются «В разработке»,Для REQ-044 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-044 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-044
ACC-045,REQ-045,"Пакет для CODEX обязан быть recipient-neutral, самодостаточным, с traceability, lint и reconciliation backlog without rediscovery",Для REQ-045 в пакете есть явный contract/каталог/матрица; связанные экраны и элементы присутствуют; нет скрытого legacy-path для этой функции.,Для REQ-045 отсутствует хотя бы один обязательный contract или найден конфликт source-of-truth / orphan reference / недоказанный flow.,"TECHNICAL_SPECIFICATION.md; GUI_SPEC.yaml; соответствующие каталоги, графы и матрицы; structure lint.",covered,TST-045
