PAR_ID,PIPELINE_NODE,VISIBILITY_MODE,WHY,GRAPHICS_TRUTH_STATE
PAR-0006,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0006,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0007,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0007,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0007,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0007,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0007,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0007,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0008,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0008,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0008,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0008,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0008,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0008,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0009,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0009,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0009,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0009,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0009,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0009,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0010,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0010,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0010,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0010,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0010,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0010,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0011,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0011,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0011,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0011,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0011,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0011,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0012,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0012,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0012,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0012,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0012,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0012,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0013,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0013,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0013,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0013,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0013,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0013,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0014,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0014,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0014,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0014,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0014,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0014,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0015,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0015,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0015,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0015,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0015,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0015,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0016,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0016,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0016,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0016,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0016,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0016,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0017,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0017,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0017,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0017,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0017,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0017,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0018,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0018,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0018,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0018,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0018,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0018,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0019,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0019,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0019,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0019,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0019,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0019,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0020,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0020,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0020,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0020,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0020,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0020,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0021,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0021,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0021,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0021,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0021,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0021,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0022,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0022,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0022,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0022,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0022,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0022,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0023,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0023,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0023,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0023,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0023,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0023,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0024,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0024,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0024,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0024,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0024,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0024,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0025,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0025,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0025,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0025,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-ANIMATOR,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-DIAGNOSTICS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0025,WS-SETTINGS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0025,WS-TOOLS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0026,WS-PROJECT,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0026,WS-INPUTS,hidden,В этом узле параметр не показывается прямо.,unavailable
PAR-0026,WS-RING,editable,Primary editing or control surface in owning workspace.,source_data_confirmed
PAR-0026,WS-SUITE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0026,WS-BASELINE,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0026,WS-OPTIMIZATION,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
PAR-0026,WS-ANALYSIS,read_only,Сценарный канон читается downstream только как refs/hash/preview.,source_data_confirmed
