artifact,status,reason
pneumo_gui_codex_design_v23_downstream_lineage_propagation.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v23_downstream_lineage_propagation.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v24_compare_diagnostics_convergence,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v24_compare_diagnostics_convergence.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v24_compare_diagnostics_convergence.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v25_canonical_scenario_source_uplift,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v25_canonical_scenario_source_uplift.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v25_canonical_scenario_source_uplift.zip.sha256,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v26_scenario_consumer_enforcement,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v26_scenario_consumer_enforcement.zip,superseded_by,v38_actualized_with_v10
pneumo_gui_codex_design_v26_scenario_consumer_enforcement.zip.sha256,superseded_by,v38_actualized_with_v10
